lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,6.999492645263646e-07,6.994092745094334e-10,1.0987281799316403e-06,1.0962543938967425e-09,9.994029998779294e-07,9.978082296561252e-10,0.0,0.0,0.0,0.001001119613647461,0.0010004043579101562,0.001001119613647461
1,5.000114440917973e-07,4.997731111961899e-10,4.997253417968747e-07,4.992014160052339e-10,1.9986629486083962e-07,1.9969280362545288e-10,0.0,0.0,0.0,0.0010013580322265625,0.0010001659393310547,0.0009999275207519531
2,1.0007619857788113e-06,1.000526111383239e-09,1.2000322341918883e-06,1.198626363879502e-09,8.004188537597654e-07,8.001983819758595e-10,0.0,0.0,0.0,0.001004934310913086,0.0010030269622802734,0.0010030269622802734
3,8.978843688964892e-07,8.949885366291711e-10,5.000114440917988e-07,4.997733613072306e-10,4.02879714965819e-07,4.0564656137348793e-10,0.0,0.0,0.0,0.0010013580322265625,0.0010008811950683594,0.0010182857513427734
4,4.004716873168949e-07,4.0083935504696913e-10,7.017612457275405e-07,7.030740787536134e-10,6.010055541992183e-07,6.016678734886213e-10,0.0,0.0,0.0,0.0010120868682861328,0.0010209083557128906,0.001012563705444336
5,9.996175765991229e-07,9.984701686511245e-10,7.04169273376465e-07,7.079081989189704e-10,3.996610641479498e-07,3.991777429240536e-10,0.0,0.0,0.0,0.0010209083557128906,0.0010182857513427734,0.0010068416595458984
6,6.011962890624962e-07,6.020424469534188e-10,5.999803543090822e-07,5.996013401130549e-10,4.000902175903313e-07,4.0008404087018525e-10,0.0,0.0,0.0,0.0010104179382324219,0.0010008811950683594,0.0010123252868652344
7,5.019187927246065e-07,4.993414411819674e-10,5.002021789550797e-07,5.001556016850334e-10,6.00242614746093e-07,6.001273328729425e-10,0.0,0.0,0.0,0.0010023117065429688,0.0010030269622802734,0.0010044574737548828
8,9.002923965454084e-07,8.998366620738797e-10,1.100897789001464e-06,1.100601900461132e-09,6.022453308105467e-07,6.041573171842153e-10,0.0,0.0,0.0,0.001012563705444336,0.0010113716125488281,0.001016378402709961
9,6.018400192260738e-07,6.034286917332562e-10,6.055593490600594e-07,6.108436427888387e-10,6.994009017944336e-07,6.98353476181525e-10,0.0,0.0,0.0,0.0010180473327636719,0.0010182857513427734,0.0010094642639160156
10,5.00249862670899e-07,5.002499254237573e-10,7.995367050170879e-07,7.984360841959421e-10,4.0624141693115297e-07,4.0428800643837947e-10,0.0,0.0,0.0,0.001001119613647461,0.0010013580322265625,0.0010221004486083984
11,6.014347076416004e-07,6.025255339204688e-10,6.990671157836906e-07,6.976852028850522e-10,7.9963207244873e-07,7.986643058069326e-10,0.0,0.0,0.0,0.0010132789611816406,0.0010111331939697266,0.001009225845336914
12,9.984970092773454e-08,9.968965779080479e-11,7.012367248535146e-07,7.02029953035891e-10,7.002115249633804e-07,6.999337482733397e-10,0.0,0.0,0.0,0.0009984970092773438,0.0010149478912353516,0.0010020732879638672
