lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,5.027770996093743e-07,5.053445853809534e-10,5.986690521240205e-07,5.970357437377062e-10,2.0012855529785062e-07,2.0021718726411582e-10,0.0,0.0,0.0,0.0010170936584472656,0.001013040542602539,0.001001119613647461
1,8.009195327758764e-07,8.012023956501933e-10,7.995128631591804e-07,7.983876860430415e-10,5.981206893920898e-07,5.95918170592427e-10,0.0,0.0,0.0,0.0010063648223876953,0.001001119613647461,0.0010046958923339844
2,5.994081497192378e-07,5.98458018498037e-10,1.0020256042480462e-06,1.0030819153234888e-09,4.011154174804674e-07,4.020817147102203e-10,0.0,0.0,0.0,0.0009999275207519531,0.0010182857513427734,0.0010106563568115234
3,8.001804351806647e-07,7.997251896972532e-10,1.099085807800294e-06,1.0970109952944547e-09,8.00204277038572e-07,7.997711094452594e-10,0.0,0.0,0.0,0.0010039806365966797,0.0010120868682861328,0.001004934310913086
4,6.997823715209957e-07,6.991414061297956e-10,9.999275207519512e-07,9.98871915044221e-10,9.018421173095701e-07,9.029125031497674e-10,0.0,0.0,0.0,0.001016855239868164,0.001010894775390625,0.0010144710540771484
5,1.203322410583493e-06,1.2052474449768684e-09,7.015228271484368e-07,6.995727905086811e-10,8.048772811889635e-07,8.091803465043784e-10,0.0,0.0,0.0,0.0010213851928710938,0.0010023117065429688,0.0010197162628173828
6,4.0011405944824354e-07,4.0006829321782934e-10,4.004478454589842e-07,4.0073716399092386e-10,4.997014999389636e-07,4.991547202274658e-10,0.0,0.0,0.0,0.0010013580322265625,0.0010039806365966797,0.0010020732879638672
7,2.0098686218261747e-07,2.0194321172084608e-10,8.046865463256826e-07,8.088124332056144e-10,2.991437911987305e-07,2.982128210027209e-10,0.0,0.0,0.0,0.0010099411010742188,0.0010213851928710938,0.0010037422180175781
8,9.000062942504854e-07,8.992042711491933e-10,4.004955291748068e-07,4.008316677732174e-10,3.9966106414794745e-07,3.9916272489279076e-10,0.0,0.0,0.0,0.0010020732879638672,0.0010027885437011719,0.00099945068359375
9,6.020545959472657e-07,6.037799019486562e-10,3.000974655151351e-07,3.001049762082164e-10,6.041765213012699e-07,6.080677984067482e-10,0.0,0.0,0.0,0.0010175704956054688,0.0010008811950683594,0.0010213851928710938
10,8.998155593872076e-07,8.988225129763821e-10,3.9980411529540985e-07,3.994491354654878e-10,4.0135383605957317e-07,4.025720934600963e-10,0.0,0.0,0.0,0.001001596450805664,0.001001119613647461,0.0010159015655517578
11,6.006479263305634e-07,6.009373139198735e-10,1.9984245300292997e-07,1.9964582070087967e-10,1.0001182556152348e-06,9.993049987406287e-10,0.0,0.0,0.0,0.001003265380859375,0.001001119613647461,0.001016378402709961
12,3.99255752563476e-07,3.9842752328467916e-10,5.993843078613299e-07,5.984104634535479e-10,8.957624435424785e-07,8.908227016257782e-10,0.0,0.0,0.0,0.0010116100311279297,0.0010004043579101562,0.0010106563568115234
