lg2 n,sorted  ,reversed,random  ,min_sort,min_rev ,min_rand,max_sort,max_rev ,max_rand
0   ,7.201862335205139e-07,7.608270645141605e-07,8.009576797485449e-07,0.0     ,0.0     ,0.0     ,0.0010192394256591797,0.0010128021240234375,0.0010166168212890625
1   ,8.397293090820394e-07,8.018445968627956e-07,7.610797882080036e-07,0.0     ,0.0     ,0.0     ,0.0010199546813964844,0.0010187625885009766,0.001016855239868164
2   ,6.559705734252928e-07,6.203460693359401e-07,6.617927551269466e-07,0.0     ,0.0     ,0.0     ,0.0010173320770263672,0.0010170936584472656,0.0010175704956054688
3   ,4.6027183532714823e-07,5.001354217529344e-07,7.407808303833022e-07,0.0     ,0.0     ,0.0     ,0.0010123252868652344,0.0010170936584472656,0.0010182857513427734
4   ,7.201528549194338e-07,6.405973434448269e-07,7.400703430175782e-07,0.0     ,0.0     ,0.0     ,0.0010118484497070312,0.0010120868682861328,0.0010097026824951172
5   ,6.2026500701904e-07,6.81815147399902e-07,6.203699111938544e-07,0.0     ,0.0     ,0.0     ,0.0010175704956054688,0.0010178089141845703,0.0010170936584472656
6   ,6.602859497070338e-07,5.005168914794888e-07,6.401443481445366e-07,0.0     ,0.0     ,0.0     ,0.0010178089141845703,0.0010116100311279297,0.0010113716125488281
7   ,7.206630706787076e-07,5.609560012817404e-07,8.600997924804741e-07,0.0     ,0.0     ,0.0     ,0.0010180473327636719,0.0010175704956054688,0.0010123252868652344
8   ,4.4010639190673937e-07,6.409263610839851e-07,6.812572479248068e-07,0.0     ,0.0     ,0.0     ,0.001016855239868164,0.0010213851928710938,0.001016855239868164
9   ,8.198022842407259e-07,5.809450149536105e-07,5.812740325927776e-07,0.0     ,0.0     ,0.0     ,0.0010180473327636719,0.0010175704956054688,0.0010178089141845703
10  ,5.587673187255849e-07,5.004596710205052e-07,7.61017799377446e-07,0.0     ,0.0     ,0.0     ,0.0010099411010742188,0.0010156631469726562,0.0010170936584472656
