lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.2912964820861831e-05,1.2759540573551367e-08,1.3306832313537533e-05,1.3133795362909418e-08,9.21759605407716e-06,9.134170826998852e-09,0.0,0.0,0.0,0.001018524169921875,0.0010271072387695312,0.0010211467742919922
1,1.5500807762145933e-05,1.5261777063641923e-08,1.6797518730163606e-05,1.651342461598177e-08,9.59782600402832e-06,9.503897283682384e-09,0.0,0.0,0.0,0.0010190010070800781,0.0010178089141845703,0.0010213851928710938
2,1.499743461608883e-05,1.477036911100875e-08,1.5195608139038054e-05,1.4954024560154247e-08,1.2907147407531728e-05,1.2748350915657624e-08,0.0,0.0,0.0,0.0010216236114501953,0.0010187625885009766,0.0010213851928710938
3,1.5202569961547872e-05,1.4970996028203015e-08,1.6308498382568427e-05,1.6051557767705153e-08,1.2400269508361806e-05,1.2247059884757112e-08,0.0,0.0,0.0,0.0010161399841308594,0.0010187625885009766,0.0010190010070800781
4,1.5056538581848129e-05,1.480341062956027e-08,1.6614770889282348e-05,1.634884487664519e-08,1.2007260322570827e-05,1.186605818381792e-08,0.0,0.0,0.0,0.0010213851928710938,0.0010192394256591797,0.0010209083557128906
5,1.6004133224487365e-05,1.5746712260440747e-08,1.6403365135192764e-05,1.6138335728300587e-08,1.0195183753967273e-05,1.0087144341532046e-08,0.0,0.0,0.0,0.0010180473327636719,0.0010223388671875,0.0010225772857666016
6,1.671338081359871e-05,1.644810753299454e-08,2.060544490814208e-05,2.018724087803032e-08,1.1205196380615249e-05,1.1085231255719939e-08,0.0,0.0,0.0,0.0010235309600830078,0.0010256767272949219,0.0010221004486083984
7,2.052299976348876e-05,2.0118420272178196e-08,2.121777534484861e-05,2.078623761926566e-08,1.2906622886657734e-05,1.274740448386127e-08,0.0,0.0,0.0,0.00103759765625,0.001035928726196289,0.0010223388671875
8,2.8124141693115337e-05,2.7262559711662142e-08,2.9464459419250504e-05,2.8581488511894607e-08,1.5387868881225643e-05,1.5135031349361746e-08,0.0,0.0,0.0,0.0010213851928710938,0.00102996826171875,0.0010292530059814453
9,4.45020914077758e-05,4.251747192722109e-08,4.337496757507325e-05,4.144486842887769e-08,2.4008822441101074e-05,2.337817999659307e-08,0.0,0.0,0.0,0.0010318756103515625,0.0010297298431396484,0.0010256767272949219
10,7.40267515182498e-05,6.857633469016432e-08,7.489693164825424e-05,6.923033138035348e-08,3.845403194427507e-05,3.6938146468718986e-08,0.0,0.0,0.0,0.00104522705078125,0.0010223388671875,0.0010192394256591797
11,0.00013004226684570268,1.1318018308689719e-07,0.0001355510950088509,1.1735389990654678e-07,7.373490333557124e-05,6.833664563853537e-08,0.0,0.0,0.0,0.0010442733764648438,0.0020020008087158203,0.0010526180267333984
12,0.00023297679424285806,1.7868917990993698e-07,0.0002510161638259892,1.8801212807422763e-07,0.00015069272518157943,1.280698040482552e-07,0.0,0.0,0.0,0.0010461807250976562,0.0010461807250976562,0.0019989013671875
