lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.2206602096557661e-06,1.2198862409131572e-09,1.1994981765747083e-06,1.1975949550603923e-09,1.039733886718744e-06,1.0384165664094274e-09,0.0,0.0,0.0,0.0010223388671875,0.0010221004486083984,0.001016855239868164
1,1.3413619995117e-06,1.3399611466316808e-09,9.607839584350554e-07,9.60678335716683e-10,8.602190017700176e-07,8.597178391300738e-10,0.0,0.0,0.0,0.0010178089141845703,0.0010216236114501953,0.0010175704956054688
2,9.802627563476549e-07,9.795749430901266e-10,9.713840484619187e-07,9.657227907656492e-10,9.208202362060542e-07,9.208073499371434e-10,0.0,0.0,0.0,0.001016855239868164,0.0010173320770263672,0.0010118484497070312
3,8.011198043823239e-07,8.016306605429895e-10,9.609270095825114e-07,9.609759135073245e-10,1.2025547027587947e-06,1.2037284724639094e-09,0.0,0.0,0.0,0.0010178089141845703,0.0010271072387695312,0.0010266304016113281
4,1.0318422317504858e-06,1.0267508109689193e-09,1.0416412353515626e-06,1.0422429061531133e-09,9.610223770141621e-07,9.602024232508356e-10,0.0,0.0,0.0,0.001016855239868164,0.0010180473327636719,0.0010175704956054688
5,1.4410543441772518e-06,1.4380731286446169e-09,1.3205051422119168e-06,1.3192965315079139e-09,1.2401294708251752e-06,1.2388054054673462e-09,0.0,0.0,0.0,0.0010187625885009766,0.0010180473327636719,0.0010187625885009766
6,1.3406705856323214e-06,1.3395874081361145e-09,1.4616489410400436e-06,1.461200901283065e-09,1.3017940521240215e-06,1.3019362137120818e-09,0.0,0.0,0.0,0.0010173320770263672,0.0010180473327636719,0.0010309219360351562
7,1.8003988265991042e-06,1.7976319870731257e-09,1.973547935485856e-06,1.9676695049454378e-09,1.6194295883178661e-06,1.6150701136402696e-09,0.0,0.0,0.0,0.0010187625885009766,0.001031637191772461,0.0010218620300292969
8,2.4722623825073216e-06,2.461983835295548e-09,2.4991989135741836e-06,2.4922390349638266e-09,2.5381374359130887e-06,2.5299153142942547e-09,0.0,0.0,0.0,0.001018524169921875,0.0010232925415039062,0.0010170936584472656
9,3.58049392700193e-06,3.566112205102009e-09,4.0506267547607915e-06,4.026771433189375e-09,4.1571998596191245e-06,4.135574332358684e-09,0.0,0.0,0.0,0.0010187625885009766,0.0010194778442382812,0.0010170936584472656
10,6.69517993927003e-06,6.648646872132271e-09,6.681451797485362e-06,6.635854837331766e-09,6.49197101593015e-06,6.443184877384138e-09,0.0,0.0,0.0,0.0010216236114501953,0.0010216236114501953,0.001020193099975586
