lg2 n,sorted  ,reversed,random  ,min_sort,min_rev ,min_rand,max_sort,max_rev ,max_rand
0   ,5.598402023315471e-07,5.603027343749992e-07,4.1958808898925673e-07,0.0     ,0.0     ,0.0     ,0.001012563705444336,0.0010175704956054688,0.0010056495666503906
1   ,5.799913406372108e-07,8.397483825683662e-07,7.415390014648471e-07,0.0     ,0.0     ,0.0     ,0.0010166168212890625,0.0010166168212890625,0.0010211467742919922
2   ,8.005809783935605e-07,7.216548919677723e-07,7.415151596069333e-07,0.0     ,0.0     ,0.0     ,0.0010223388671875,0.0010187625885009766,0.0010180473327636719
3   ,6.803512573242216e-07,7.401609420776383e-07,6.403684616088835e-07,0.0     ,0.0     ,0.0     ,0.0010142326354980469,0.0010175704956054688,0.001018524169921875
4   ,8.816862106323236e-07,6.399345397949165e-07,7.404518127441466e-07,0.0     ,0.0     ,0.0     ,0.001012563705444336,0.0010161399841308594,0.0010144710540771484
5   ,7.606172561645484e-07,6.408166885376008e-07,4.207086563110369e-07,0.0     ,0.0     ,0.0     ,0.001012563705444336,0.0010123252868652344,0.0010175704956054688
6   ,7.012987136840821e-07,5.404233932495157e-07,5.00135421752935e-07,0.0     ,0.0     ,0.0     ,0.0010209083557128906,0.0010271072387695312,0.0010118484497070312
7   ,8.812046051025417e-07,6.800603866577188e-07,5.000257492065437e-07,0.0     ,0.0     ,0.0     ,0.0010180473327636719,0.0010197162628173828,0.0010170936584472656
8   ,7.009649276733366e-07,7.813405990600628e-07,6.402349472045865e-07,0.0     ,0.0     ,0.0     ,0.0010182857513427734,0.0010540485382080078,0.0010178089141845703
9   ,8.407020568847548e-07,8.605670928955288e-07,5.810785293579148e-07,0.0     ,0.0     ,0.0     ,0.0010128021240234375,0.0010187625885009766,0.0010175704956054688
10  ,7.00969696044918e-07,7.003974914550803e-07,7.199335098266605e-07,0.0     ,0.0     ,0.0     ,0.001012563705444336,0.0010187625885009766,0.001012563705444336
