lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,6.970167160034214e-07,6.936472600358452e-10,8.008956909179678e-07,8.011610802532227e-10,4.020214080810534e-07,4.0390766170957943e-10,0.0,0.0,0.0,0.0010008811950683594,0.0010097026824951172,0.0010120868682861328
1,6.023645401000985e-07,6.043926588148457e-10,8.013963699340824e-07,8.021693680751688e-10,6.002902984619129e-07,6.00220476096638e-10,0.0,0.0,0.0,0.001012563705444336,0.0010135173797607422,0.001001119613647461
2,6.002902984619126e-07,6.002210558995108e-10,7.017374038696279e-07,7.030149666383062e-10,8.986949920654279e-07,8.96656662441727e-10,0.0,0.0,0.0,0.0010018348693847656,0.0010178089141845703,0.0010101795196533203
3,3.012418746948242e-07,3.0240907265976993e-10,9.023666381835907e-07,9.039449815281829e-10,9.996891021728538e-08,9.992783631730616e-11,0.0,0.0,0.0,0.001012563705444336,0.0010120868682861328,0.0009996891021728516
4,9.000062942504872e-07,8.992044871541715e-10,3.999233245849595e-07,3.9968677636125055e-10,6.970405578613288e-07,6.93641286661658e-10,0.0,0.0,0.0,0.001001596450805664,0.0010001659393310547,0.0010018348693847656
5,2.0008087158203214e-07,2.001217435099533e-10,5.017518997192395e-07,5.033427316760694e-10,6.009578704833949e-07,6.015695462133437e-10,0.0,0.0,0.0,0.0010004043579101562,0.0010178089141845703,0.0010120868682861328
6,3.998279571533196e-07,3.9949697287511273e-10,4.005432128906259e-07,4.0093519828587677e-10,6.980419158935541e-07,6.957113775547449e-10,0.0,0.0,0.0,0.001001596450805664,0.001009225845336914,0.0010180473327636719
7,5.998611450195281e-07,5.993635536469789e-10,1.2017965316772415e-06,1.2021887325494138e-09,7.013559341430639e-07,7.022402031174148e-10,0.0,0.0,0.0,0.0010020732879638672,0.0010154247283935547,0.0010128021240234375
8,1.1001110076904257e-06,1.099028529458788e-09,4.996776580810543e-07,4.991080130798761e-10,5.006313323974598e-07,5.010212726097062e-10,0.0,0.0,0.0,0.0010106563568115234,0.0010013580322265625,0.0010089874267578125
9,4.978418350219716e-07,4.954674601771082e-10,8.982658386230514e-07,8.958093980163537e-10,2.0101070404052707e-07,2.0199470795830622e-10,0.0,0.0,0.0,0.0010018348693847656,0.0010116100311279297,0.0010116100311279297
10,5.994796752929704e-07,5.986189530995022e-10,5.027770996093732e-07,5.053389919885385e-10,4.970788955688474e-07,4.939987486517368e-10,0.0,0.0,0.0,0.001003265380859375,0.001016855239868164,0.001001119613647461
11,4.4822692871093906e-07,4.203473622510515e-10,7.01189041137695e-07,7.019161284347343e-10,4.007577896118174e-07,4.01384902215227e-10,0.0,0.0,0.0,0.00099945068359375,0.0010166168212890625,0.0010149478912353516
12,6.011009216308552e-07,6.018499533729496e-10,3.0007362365722623e-07,3.000577479519963e-10,7.007122039794916e-07,7.009361001450956e-10,0.0,0.0,0.0,0.001009225845336914,0.0010020732879638672,0.0010044574737548828
