lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,2.502131462097157e-06,2.498303522992844e-09,1.7975330352783194e-06,1.7918901703319577e-09,4.99701499938965e-07,4.991540494751222e-10,0.0,0.0,0.0,0.0010204315185546875,0.0010089874267578125,0.0010001659393310547
1,6.2150239944457725e-06,6.192086841378486e-09,7.788467407226576e-06,7.716554889848333e-09,6.701350212097179e-06,6.6585114804951424e-09,0.0,0.0,0.0,0.0010449886322021484,0.0010094642639160156,0.00103759765625
2,6.898498535156228e-06,6.849596360134462e-09,1.3694095611572214e-05,1.3501457843640287e-08,7.794189453125004e-06,7.728214782364389e-09,0.0,0.0,0.0,0.0010192394256591797,0.0010237693786621094,0.0010340213775634766
3,1.1304593086242627e-05,1.1183136675639935e-08,3.241860866546625e-05,3.138858817224847e-08,3.040745258331276e-05,2.949557700437642e-08,0.0,0.0,0.0,0.0010483264923095703,0.0010421276092529297,0.0010700225830078125
4,8.607149124145506e-06,8.540673775257814e-09,9.896271228790286e-05,8.923819034111541e-08,7.919147014617928e-05,7.291701472583975e-08,0.0,0.0,0.0,0.0010225772857666016,0.0010530948638916016,0.001049041748046875
5,1.2214636802673352e-05,1.2080365372775673e-08,0.0003814887046813971,2.4218113605137547e-07,0.0002517068147659311,1.9176035459747613e-07,0.0,0.0,0.0,0.0010170936584472656,0.0020542144775390625,0.0020079612731933594
6,2.1206140518188563e-05,2.0763093685616306e-08,0.0013606122732162463,3.0000311990293794e-07,0.0009025655031204246,2.9817994593583837e-07,0.0,0.0009622573852539062,0.0,0.0010271072387695312,0.004998922348022461,0.00498199462890625
7,3.950634002685561e-05,3.795324907727265e-08,0.005248703527450564,9.189980688445748e-07,0.003490547180175783,7.744870243041101e-07,0.0,0.003968000411987305,0.0019979476928710938,0.0010221004486083984,0.018010377883911133,0.012012720108032227
8,8.25055837631222e-05,7.570709929255759e-08,0.021383697295188846,7.19087051620736e-06,0.013843913006782534,3.429491842714914e-06,0.0,0.01896357536315918,0.011976957321166992,0.0010445117950439453,0.057001590728759766,0.04102635383605957
9,0.00014965350627899114,1.273200124513047e-07,0.08659161150455442,6.2229493307905e-05,0.056822505450248674,2.8677160984536252e-05,0.0,0.07896590232849121,0.05000019073486328,0.0010454654693603516,0.18900179862976074,0.13000059127807617
10,0.00024993877410888843,1.874951378744842e-07,0.3412852674961101,0.0004377062556912193,0.23797496497631104,0.00035705825471532657,0.0,0.31998157501220703,0.20999836921691895,0.0010325908660888672,0.5669848918914795,0.5059990882873535
11,0.000582333898544312,3.2808430836364635e-07,1.3948689232110942,0.009429967101590579,0.9186745610475517,0.00581940611027655,0.0,1.2889819145202637,0.8499996662139893,0.004050731658935547,2.484998941421509,2.356318473815918
