lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.03654614666666669,0.018694532987726484,3.4933333333005592e-06,1.446222222391254e-13,3.340000000040533e-06,1.664000000243729e-13,3.200000000092018e-06,2.7999999998584713e-06,2.700000000022129e-06,0.5481353,3.999999999892978e-06,4.100000000173409e-06
1,3.246666666652705e-06,3.982222220714362e-14,3.540000000024079e-06,2.3840000005101426e-13,3.073333333351395e-06,1.2195555554993752e-13,2.800000000080516e-06,2.700000000022129e-06,2.700000000022129e-06,3.499999999823089e-06,4.100000000173409e-06,3.7999999999982492e-06
2,3.0933333333630724e-06,1.8462222224537327e-13,3.4466666666658576e-06,1.1822222219645459e-14,3.5800000000326315e-06,4.159999998699736e-14,2.700000000022129e-06,3.2999999999283602e-06,3.300000000150405e-06,3.900000000056636e-06,3.6000000001035204e-06,3.999999999892978e-06
3,3.126666666686262e-06,1.1262222219544184e-13,2.8866666666793605e-06,5.155555549536128e-15,3.2133333333295156e-06,1.1315555554538525e-13,2.700000000022129e-06,2.800000000080516e-06,2.700000000022129e-06,3.6999999999398625e-06,2.9999999999752447e-06,3.6999999999398625e-06
4,3.606666666670459e-06,1.184622222218409e-12,3.6999999999990743e-06,2.14666666677532e-13,3.2666666666939885e-06,8.355555556332152e-14,2.899999999916858e-06,2.9999999999752447e-06,2.9999999999752447e-06,7.5999999999964984e-06,4.300000000068138e-06,4.300000000068138e-06
5,3.133333333297609e-06,1.3022222224106046e-13,4.840000000013352e-06,3.4239999996166427e-13,5.9799999999832215e-06,1.4959999997514888e-13,2.7999999998584713e-06,3.7999999999982492e-06,4.899999999974369e-06,3.900000000056636e-06,5.4999999998806e-06,6.5999999998567205e-06
6,3.5333333333091105e-06,2.4888888891307093e-14,9.060000000005175e-06,2.645066666665133e-12,1.0919999999966141e-05,5.4016000001987406e-12,3.1999999998699735e-06,6.399999999961992e-06,8.400000000019503e-06,3.7999999999982492e-06,1.0500000000135401e-05,1.7500000000003624e-05
7,2.979999999993173e-06,4.26666666099086e-15,2.1439999999979994e-05,3.4454400000413004e-11,2.729333333332621e-05,5.432888888814501e-13,2.899999999916858e-06,1.619999999991073e-05,2.579999999996474e-05,3.1000000000336314e-06,3.0100000000032878e-05,2.849999999998687e-05
8,3.666666666690688e-06,2.1422222222763447e-13,5.426000000000226e-05,1.2997333333056438e-12,0.00013216000000001077,2.0147839999965498e-10,3.1000000000336314e-06,5.370000000004538e-05,8.950000000007563e-05,4.300000000068138e-06,5.849999999996136e-05,0.0001541999999998822
9,4.280000000012052e-06,5.749333333071868e-13,0.0002585599999999891,6.021903733332765e-09,0.0005275866666666276,2.5001315555735775e-10,3.399999999986747e-06,0.00020249999999988333,0.00048349999999985904,5.599999999938987e-06,0.0003815000000000346,0.0005555999999999894
10,6.073333333252625e-06,1.0326222222339444e-12,0.001225453333333319,1.1486680515555187e-07,0.0018229399999999468,7.613975839999567e-08,4.199999999787707e-06,0.0007932999999997747,0.0014259999999999273,7.300000000043383e-06,0.0017485000000001527,0.0021670999999998664
11,9.419999999978519e-06,2.8869333332216615e-12,0.0057550266666666515,3.8763222995547463e-07,0.009058613333333288,8.735470115557191e-08,5.999999999950489e-06,0.004254200000000097,0.008620500000000142,1.1100000000041632e-05,0.0066901999999999795,0.009510099999999966
12,1.9946666666707334e-05,1.7516248888883093e-10,0.024900420000000107,3.1087411256000906e-06,0.03845572000000006,1.5362163936000215e-06,1.0800000000088517e-05,0.022842800000000274,0.03610589999999991,6.890000000003837e-05,0.029011800000000143,0.04053450000000014
13,2.6933333333367667e-05,1.778488888814326e-11,0.11019278666666683,1.5732010689154956e-05,0.16472475999999994,2.5025917147734042e-05,1.4700000000367197e-05,0.10357100000000008,0.15750569999999975,3.66999999998896e-05,0.11991629999999986,0.17285159999999955
14,4.835333333321756e-05,9.478222221428133e-13,0.44173980000000007,3.211168733066724e-05,0.6814439933333332,0.00011266245411396458,4.729999999941725e-05,0.4302742000000004,0.6696199000000007,5.049999999950927e-05,0.45283400000000107,0.7068411999999995
15,0.00010926666666648544,4.215291555541358e-09,1.561204706666666,0.051381940286475136,2.018298099999998,0.0012992021487825104,9.019999999893002e-05,1.0716486999999972,1.9631953999999965,0.00035199999999946385,1.9125480999999986,2.0771159999999895
16,8.435333333712456e-05,3.893582224032669e-11,4.0198480266666685,0.017145930506609012,8.071182246666668,0.05142201643410282,8.069999999804622e-05,3.828646500000005,7.730989399999999,0.00010660000000939363,4.279188700000006,8.57407760000001
17,0.00019170000000106788,5.053774667009648e-09,15.319183633333335,0.2662035618548739,32.64808526666668,0.16914259281202915,0.00016279999999824213,14.60210920000003,32.00362970000003,0.00037820000000010623,16.76113410000005,33.58106129999999
18,0.00042194000001624475,1.948403840496203e-08,62.142494846666665,7.120842208445549,123.94652143333337,3.9336185973264763,0.00032080000005407783,57.912195699999984,119.90425210000012,0.0007299999999759166,67.07899050000015,126.68204919999971
19,0.0007781533334006478,6.837563183394577e-08,243.44266065999994,81.29751853987419,490.1380257933334,5.692278581178944,0.0006392999998752202,235.0863916999997,488.1265719999992,0.0014587000000574335,261.64165800000046,498.1622036000008
20,0.0023772933333627106,3.581401375513465e-07,865.4996802066669,75.02615714635512,1905.7148223066667,237.3818387766609,0.001360600001135026,853.3739344999995,1870.414160799999,0.00297599999976228,894.570345600001,1932.6765083000028
