lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.3042998552322388,0.8333856170492533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0429985523223877,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9.996891021728516e-05,8.994404709028458e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009996891021728516,0.0,0.0
5,0.00010025501251220703,9.045960780440508e-08,9.992122650146485e-05,8.985826355001336e-08,0.0,0.0,0.0,0.0,0.0,0.0010025501251220703,0.0009992122650146484,0.0
6,0.00030007362365722654,2.101031577694812e-07,0.0003000020980834961,2.1000294111672702e-07,0.000600123405456543,1.4407831992002684e-06,0.0,0.0,0.0,0.0010008811950683594,0.0010001659393310547,0.004001140594482422
7,9.999275207519531e-05,8.998695420814329e-08,0.0004998445510864257,2.4984466620026067e-07,0.00029995441436767576,2.0993632517729566e-07,0.0,0.0,0.0,0.0009999275207519531,0.0010001659393310547,0.0010006427764892578
8,0.0007998943328857422,1.5995822195691288e-07,0.0004999160766601563,2.499161359992286e-07,0.00039997100830078123,2.3996565460038257e-07,0.0,0.0,0.0,0.001001119613647461,0.0010001659393310547,0.001001596450805664
9,0.001400136947631836,2.40204294641444e-07,0.001299738883972168,2.0945085736912007e-07,0.0013993263244628906,2.402333370810083e-07,0.0009984970092773438,0.00099945068359375,0.0009982585906982422,0.0020008087158203125,0.0019998550415039062,0.0020020008087158203
10,0.0026999235153198245,2.0970787829810432e-07,0.0037996530532836918,5.9604432459536835e-06,0.003099679946899414,8.894615916688051e-07,0.0019996166229248047,0.002000093460083008,0.001999378204345703,0.003000497817993164,0.010999917984008789,0.004997730255126953
11,0.0068995714187622065,9.89573485924211e-06,0.005599761009216308,2.400550948777891e-07,0.006199288368225098,7.595211292255045e-07,0.0049974918365478516,0.004997730255126953,0.003998756408691406,0.014002799987792969,0.0060040950775146484,0.00699925422668457
12,0.0122011661529541,8.356921377981048e-06,0.011699128150939942,1.0098875469566329e-06,0.010599851608276365,2.402250743216428e-07,0.010000467300415039,0.009999752044677734,0.009997844696044922,0.020000457763671875,0.013998270034790039,0.011002540588378906
13,0.024000096321105956,8.999889747087764e-06,0.023800063133239745,3.856194634920485e-05,0.02529952526092529,2.6210251592715396e-05,0.01899886131286621,0.018999338150024414,0.01999950408935547,0.029000282287597656,0.0409998893737793,0.03699898719787598
14,0.0477989673614502,1.9553515394363788e-05,0.05430021286010743,0.00010200288210398861,0.05890090465545654,8.850395933052369e-05,0.041001081466674805,0.04200005531311035,0.04900240898132324,0.056998491287231445,0.08099961280822754,0.0780026912689209
