lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.1322260466666668,0.24475806230197458,3.393333333316188e-06,3.2622222207025597e-14,3.6199999999967737e-06,9.359999996600719e-14,3.200000000092018e-06,3.200000000092018e-06,3.200000000092018e-06,1.9833373000000003,3.7999999999982492e-06,4.4999999997408224e-06
1,3.6533333333051605e-06,7.448888889258072e-14,3.726666666666508e-06,4.3288888895622017e-14,3.913333333234923e-06,6.851555555961449e-13,3.2999999999283602e-06,3.200000000092018e-06,3.2999999999283602e-06,4.39999999990448e-06,4.000000000115023e-06,6.500000000020378e-06
2,3.419999999968819e-06,2.8266666665331705e-14,3.5333333333535204e-06,9.955555558891339e-14,3.4599999999625666e-06,5.573333330486022e-14,3.200000000092018e-06,3.200000000092018e-06,3.100000000255676e-06,3.7999999999982492e-06,4.300000000068138e-06,4.000000000115023e-06
3,3.346666666577865e-06,1.1315555558229401e-13,1.191999999991348e-05,9.369829333360668e-10,3.5199999999235847e-06,4.560000000232642e-14,2.9999999999752447e-06,3.200000000092018e-06,3.2999999999283602e-06,4.500000000184912e-06,0.000126400000000082,4.000000000115023e-06
4,3.40000000000155e-06,1.7333333335810473e-14,3.746666666663382e-06,7.98222221883251e-14,3.7199999999515404e-06,5.0933333345440376e-14,3.199999999647929e-06,3.100000000255676e-06,3.2999999999283602e-06,3.700000000161907e-06,4.300000000068138e-06,4.200000000231796e-06
5,6.419999999944063e-06,1.1162666667575103e-12,6.913333333358196e-06,8.078222221889424e-13,6.320000000018902e-06,2.4266666681977054e-14,4.500000000184912e-06,6.200000000067263e-06,6.0999999997868315e-06,8.699999999972619e-06,1.0099999999901854e-05,6.60000000030081e-06
6,1.1533333333346718e-05,3.8035555553529126e-12,1.1433333333362345e-05,7.795555554257139e-13,1.1346666666689488e-05,4.598222221556065e-13,9.400000000159281e-06,1.0300000000018628e-05,1.0700000000252174e-05,1.6899999999875348e-05,1.3999999999736445e-05,1.369999999978333e-05
7,1.929999999994436e-05,4.5640000000656005e-12,2.2173333333341817e-05,2.2246222222351948e-12,2.503999999996509e-05,4.37066666697428e-13,1.6800000000039006e-05,1.8999999999991246e-05,2.3699999999848842e-05,2.2899999999825837e-05,2.3999999999801958e-05,2.689999999994086e-05
8,4.223999999997119e-05,6.996373333276694e-11,4.117999999998881e-05,1.0665599999481258e-11,4.705333333330231e-05,1.6574488888895802e-11,3.4400000000101016e-05,3.7600000000193035e-05,4.319999999990998e-05,7.169999999989685e-05,4.7399999999697684e-05,5.7899999999833085e-05
9,8.931999999992612e-05,2.5842666668528957e-12,8.964666666676872e-05,6.876782222183042e-11,9.719333333334152e-05,1.7184622222422115e-11,8.739999999995973e-05,7.770000000029142e-05,9.280000000000399e-05,9.210000000026142e-05,9.920000000018803e-05,0.00010460000000023228
10,0.0001718599999999348,1.228210400003802e-09,0.00020279333333335828,2.1628726222191375e-09,0.00023327333333327262,4.6122862222242847e-10,9.329999999962979e-05,0.00010250000000011639,0.00021859999999973567,0.00022220000000006124,0.0002769000000002464,0.0003093999999999042
11,0.0006503400000000012,1.1631314997334106e-06,0.0006140933333333246,3.256294179555813e-07,0.0005059466666665458,1.1590546488880812e-08,0.0003089000000002784,0.0003427000000000291,0.00042179999999980566,0.0046840000000001325,0.0026546000000000625,0.0008939999999997283
12,0.0007211999999999996,6.836300000001736e-09,0.0009054066666666157,6.332042728893467e-08,0.0009545600000000043,3.172606399994117e-09,0.000649099999999958,0.0007559999999999789,0.00086189999999986,0.0009608999999999313,0.0018260000000003274,0.0010649999999996496
13,0.0015780199999999725,4.60871735999905e-08,0.0018293933333331698,1.6476472462215431e-07,0.0021431333333334023,2.2245960222223445e-07,0.0013705999999999996,0.0015199999999992997,0.0018289000000004663,0.0022983999999999227,0.003292399999999418,0.0038523000000001417
14,0.0031195799999998997,6.912887893334722e-08,0.0034081466666668445,1.1133975182225402e-07,0.00435632666666675,4.695129262221527e-08,0.002773399999999704,0.0030368000000002837,0.003916600000000159,0.0035927999999998406,0.004041500000000475,0.004746700000000104
15,0.006877093333333425,7.730698886221363e-07,0.006866780000000183,6.975881322666922e-07,0.009129926666666559,8.3247385395543e-07,0.0058267000000000735,0.006290899999999766,0.008176299999999692,0.008811600000000475,0.009503000000000483,0.011373499999999481
16,0.014433486666666617,2.3270639118222794e-06,0.015517846666666555,1.6394458651551825e-06,0.019264826666666637,1.1514946166220998e-06,0.012571200000000005,0.013065199999999777,0.017324499999999965,0.01718989999999998,0.017451399999999673,0.02108880000000024
17,0.03012343333333346,3.0298300235558543e-06,0.030297353333333395,2.6381611984893115e-06,0.04236278666666688,3.270953523848966e-05,0.02673530000000035,0.027440799999999932,0.036758900000000594,0.03255180000000024,0.033712700000000595,0.056312500000000654
18,0.059294346666666796,8.498516678489802e-06,0.06383174666666609,3.204506448782448e-05,0.08032228666666666,8.398663398489147e-06,0.05463799999999974,0.05753459999999855,0.07635160000000063,0.06521760000000043,0.08145290000000038,0.0871341000000001
19,0.12207921999999972,2.5221416892265028e-05,0.13157748666666688,3.981419164382153e-05,0.16994215999999987,2.006782285306812e-05,0.11323699999999981,0.1225985000000005,0.1638105999999997,0.1335159999999984,0.1463939000000014,0.1787744
20,0.2659636533333336,7.978346585048988e-05,0.2702327666666666,8.064064842620487e-05,0.3804994600000003,0.001740308999422429,0.24881110000000106,0.25441350000000185,0.33728799999999737,0.2925317000000014,0.29246349999999666,0.46287769999999995
