lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,9.996891021728512e-06,9.893845179931304e-09,9.996891021728509e-06,9.893845179931307e-09,0.0,0.0,0.0,0.0,0.0,0.0009996891021728516,0.0009996891021728516,0.0
1,2.000570297241211e-05,1.9611227452287492e-08,2.0017623901367186e-05,1.9634568297988154e-08,2.0034313201904294e-05,1.9667311852344936e-08,0.0,0.0,0.0,0.0010018348693847656,0.001001596450805664,0.0010018348693847656
2,1.997232437133789e-05,1.9545795856856785e-08,9.968280792236329e-06,9.837295573333905e-09,0.0,0.0,0.0,0.0,0.0,0.0009989738464355469,0.0009968280792236328,0.0
3,9.996891021728509e-06,9.893845179931309e-09,9.973049163818362e-06,9.846709252769867e-09,1.0097026824951172e-05,1.0093045119674571e-08,0.0,0.0,0.0,0.0009996891021728516,0.000997304916381836,0.0010097026824951172
4,1.9977092742919934e-05,1.9555127772719064e-08,9.996891021728509e-06,9.893845179931309e-09,0.0,0.0,0.0,0.0,0.0,0.0009989738464355469,0.0009996891021728516,0.0
5,1.0397434234619147e-05,1.0702557227659781e-08,1.0001659393310546e-05,9.903285871359916e-09,1.9998550415039082e-05,1.9597160053308473e-08,0.0,0.0,0.0,0.001039743423461914,0.0010001659393310547,0.0010001659393310547
6,0.0,0.0,9.996891021728509e-06,9.893845179931307e-09,2.0084381103515624e-05,1.9766390687436808e-08,0.0,0.0,0.0,0.0,0.0009996891021728516,0.0010099411010742188
7,3.0019283294677723e-05,2.9137490963648816e-08,0.0,0.0,1.0008811950683593e-05,9.917455349750526e-09,0.0,0.0,0.0,0.0010018348693847656,0.0,0.0010008811950683594
8,9.982585906982425e-06,9.86555011763812e-09,0.0,0.0,1.9943714141845694e-05,1.9489898903657393e-08,0.0,0.0,0.0,0.0009982585906982422,0.0,0.0009989738464355469
9,3.0024051666259774e-05,2.914755015694936e-08,0.0,0.0,5.0146579742431644e-05,4.778526324002996e-08,0.0,0.0,0.0,0.0010077953338623047,0.0,0.0010161399841308594
10,0.0,0.0,8.98194313049316e-05,8.157557869594712e-08,4.999637603759765e-05,4.7493124952779916e-08,0.0,0.0,0.0,0.0,0.001008749008178711,0.0010006427764892578
11,4.989147186279297e-05,4.730123421268218e-08,3.02433967590332e-05,2.9582427458763057e-08,9.005546569824221e-05,8.200595298148982e-08,0.0,0.0,0.0,0.0010175704956054688,0.0010280609130859375,0.0010149478912353516
12,3.0000209808349592e-05,2.910041877726145e-08,4.9996376037597654e-05,4.749315678509447e-08,0.00018002510070800774,1.476433802508836e-07,0.0,0.0,0.0,0.0010008811950683594,0.0010013580322265625,0.001009225845336914
13,1.9989013671875e-05,1.9578473848014252e-08,8.990764617919922e-05,8.173589833404552e-08,0.0002797842025756836,2.0129152119352515e-07,0.0,0.0,0.0,0.0009996891021728516,0.0010111331939697266,0.0010046958923339844
14,9.997606277465816e-05,8.995703530558783e-08,0.00012002944946289061,1.0565213337940804e-07,0.0006896734237670897,2.137214590902659e-07,0.0,0.0,0.0,0.001001119613647461,0.0010037422180175781,0.0010170936584472656
15,0.00020025730133056642,1.6044798464918125e-07,0.00034042835235595695,2.2498309592720035e-07,0.0013279390335083003,2.1587999819985276e-07,0.0,0.0,0.0009791851043701172,0.0010480880737304688,0.0010204315185546875,0.002020597457885742
