lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,6.866455078125e-05,6.600748747587204e-08,0.0,0.0,0.0,0.0,0.0,0.00102996826171875
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,6.558100382486979e-05,6.021215287748621e-08,0.0001332441965738932,1.154029243682291e-07,0.0,0.0,0.0,0.0,0.0009837150573730469,0.0010030269622802734
12,0.0,0.0,0.0001976966857910156,1.5634993208853608e-07,6.672541300455728e-05,6.233193036880242e-08,0.0,0.0,0.0,0.0,0.0009999275207519531,0.0010008811950683594
13,6.67572021484375e-05,6.239133654162288e-08,6.67572021484375e-05,6.239133654162288e-08,0.00019933382670084634,1.5893696147233843e-07,0.0,0.0,0.0,0.0010013580322265625,0.0010013580322265625,0.0009999275207519531
14,6.669362386067709e-05,6.227255249137266e-08,0.00013337135314941406,1.1562148301891283e-07,0.000533278783162435,2.4883798131567243e-07,0.0,0.0,0.0,0.0010004043579101562,0.0010006427764892578,0.0009999275207519531
15,6.666183471679688e-05,6.221320290933363e-08,0.0002000013987223307,1.6000227080641913e-07,0.0012640635172526042,1.9704300383535963e-07,0.0,0.0,0.0009756088256835938,0.0009999275207519531,0.0010004043579101562,0.0020017623901367188
16,0.0004017194112141928,2.420897049483352e-07,0.0005330721537272137,2.4865893515703245e-07,0.00267335573832194,2.156253599928782e-07,0.0,0.0,0.0020072460174560547,0.001018524169921875,0.0010075569152832031,0.003016948699951172
17,0.0007310708363850912,1.9441754122655968e-07,0.0011389573415120442,1.1416806551601948e-07,0.005735286076863607,1.9440469612972157e-07,0.0,0.0009992122650146484,0.004999876022338867,0.0010099411010742188,0.002000093460083008,0.006015300750732422
18,0.0015317916870117186,2.497706282156287e-07,0.0025317192077636717,2.488743287661539e-07,0.012664413452148438,4.932082053225412e-07,0.0009822845458984375,0.001981496810913086,0.011972904205322266,0.0020051002502441406,0.003005504608154297,0.014002561569213867
19,0.0031337102254231776,1.1550865767478377e-07,0.005135265986124674,1.1314658169996822e-07,0.02679920196533203,9.57940111826854e-07,0.0029888153076171875,0.004994392395019531,0.025995254516601562,0.004000663757324219,0.006000518798828125,0.029995441436767578
20,0.006465689341227214,2.500452294245608e-07,0.01133281389872233,2.2272605494638111e-07,0.054802783330281574,2.958869941317576e-07,0.005987882614135742,0.010992765426635742,0.05399298667907715,0.007016658782958984,0.012005090713500977,0.05601906776428223
