lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.4020681381225578e-06,1.4021814460824057e-09,9.991407394409185e-07,9.972981236791144e-10,1.3012647628784153e-06,1.3008463058434888e-09,0.0,0.0,0.0,0.0010089874267578125,0.0010025501251220703,0.0010089874267578125
1,6.6043615341186586e-06,6.565311691674068e-09,7.005000114440909e-06,6.9610556956143635e-09,6.00192546844483e-06,5.9679844786609216e-09,0.0,0.0,0.0,0.0010175704956054688,0.001018524169921875,0.0010159015655517578
2,1.1508798599243137e-05,1.1385379044784229e-08,1.0498976707458487e-05,1.0387893644928604e-08,9.708452224731464e-06,9.622867555206069e-09,0.0,0.0,0.0,0.0010235309600830078,0.0010175704956054688,0.0010271072387695312
3,2.371258735656738e-05,2.3163687650319254e-08,1.9700908660888646e-05,1.9314322166874176e-08,1.6393995285034145e-05,1.611967308406521e-08,0.0,0.0,0.0,0.0010211467742919922,0.0010213851928710938,0.0010149478912353516
4,7.673311233520488e-05,7.088062652860543e-08,5.410935878753662e-05,5.119239584182603e-08,3.722550868988028e-05,3.586612571370956e-08,0.0,0.0,0.0,0.0010480880737304688,0.0010290145874023438,0.001028299331665039
5,0.00026021971702575746,1.925349540256113e-07,0.00017441790103912253,1.440195753498933e-07,7.033288478851294e-05,6.54207171859155e-08,0.0,0.0,0.0,0.0010378360748291016,0.0010290145874023438,0.0010371208190917969
6,0.0009794913053512587,8.410453051928432e-08,0.0006158957481384289,2.432833419154584e-07,0.0001574165821075439,1.3265754308753207e-07,0.0,0.0,0.0,0.0030183792114257812,0.0020122528076171875,0.001035928726196289
7,0.0038971164941787578,2.574236692342023e-07,0.0023866334438324035,2.534327544104575e-07,0.0003531699419021613,2.286205223888141e-07,0.0029709339141845703,0.0019617080688476562,0.0,0.009000062942504883,0.0060007572174072266,0.0010533332824707031
8,0.01541242115497588,9.370663094687136e-07,0.009325909304618825,4.929836401583048e-07,0.0007976929426193266,1.875752603536458e-07,0.013975381851196289,0.007966756820678711,0.0,0.031986236572265625,0.019002199172973633,0.003000497817993164
9,0.06210171172618855,1.0434693476737906e-05,0.03815059587955469,4.7307484370623185e-06,0.001831037449836736,2.3082560565357684e-07,0.058988332748413086,0.035964250564575195,0.0009632110595703125,0.09099483489990234,0.06599688529968262,0.006000518798828125
