lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.2024641036987287e-06,1.2035160584531431e-09,1.3010740280151328e-06,1.3004653032788804e-09,1.6031265258789033e-06,1.6037641912589605e-09,0.0,0.0,0.0,0.0010173320770263672,0.001008749008178711,0.0010266304016113281
1,4.799985885620104e-06,4.777038328554667e-09,5.104422569274889e-06,5.082838902680471e-09,5.5982112884521465e-06,5.565138657382273e-09,0.0,0.0,0.0,0.0010118484497070312,0.0010123252868652344,0.0010058879852294922
2,5.305051803588859e-06,5.2820908194348754e-09,6.993484497070312e-06,6.938372407839789e-09,5.502796173095685e-06,5.475433439178242e-09,0.0,0.0,0.0,0.0010178089141845703,0.0010170936584472656,0.0010213851928710938
3,8.01291465759276e-06,7.961799349575387e-09,1.4806914329528778e-05,1.4595361650316926e-08,1.070585250854495e-05,1.0597365173171103e-08,0.0,0.0,0.0,0.0010128021240234375,0.0010433197021484375,0.001020669937133789
4,4.529731273651134e-05,4.324391368376774e-08,4.2914175987243505e-05,4.10877061697187e-08,2.3986792564391978e-05,2.3398851530918764e-08,0.0,0.0,0.0,0.0010292530059814453,0.0010225772857666016,0.0010218620300292969
5,0.00021188435554504376,1.6708383276325328e-07,0.00015135724544525128,1.2851094885224376e-07,4.9501895904540935e-05,4.705445689546652e-08,0.0,0.0,0.0,0.0010366439819335938,0.0010328292846679688,0.0010218620300292969
6,0.000849449443817136,1.4550702594870913e-07,0.0005536199569702168,2.501710527928858e-07,0.00011801698207855206,1.0410881949946958e-07,0.0,0.0,0.0,0.0020203590393066406,0.002019166946411133,0.0010259151458740234
7,0.003375489616394044,2.7338799703578844e-07,0.0021087047576904233,1.0308102146260336e-07,0.00025770730972290084,1.916078650624608e-07,0.0029621124267578125,0.0019533634185791016,0.0,0.009999990463256836,0.006000995635986328,0.001984119415283203
8,0.013305127739906303,4.658442624673728e-07,0.008256746649742111,3.9094506951015296e-07,0.0005928484678268468,2.4475696329108766e-07,0.011973142623901367,0.006977081298828125,0.0,0.02200031280517578,0.021004915237426758,0.0029997825622558594
9,0.053588464975357075,4.0132389633544655e-06,0.033550714325904785,1.8116791744283742e-06,0.0014270451545715327,2.576840561399963e-07,0.051956892013549805,0.03197145462036133,0.0009679794311523438,0.07999968528747559,0.05401110649108887,0.006994724273681641
