lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.3020515441894529e-06,1.3024417225187762e-09,1.1002540588378853e-06,1.0993038484321008e-09,1.80182456970215e-06,1.8004481549519417e-09,0.0,0.0,0.0,0.0010178089141845703,0.0010073184967041016,0.0010209083557128906
1,7.997345924377455e-06,7.93083359696483e-09,8.69863033294674e-06,8.622097116467029e-09,6.793451309204115e-06,6.74095237863868e-09,0.0,0.0,0.0,0.0010213851928710938,0.0010218620300292969,0.001016378402709961
2,1.0497808456420956e-05,1.0385761972827396e-08,9.886097908020048e-06,9.774958129805157e-09,1.359453201293948e-05,1.3404960760444699e-08,0.0,0.0,0.0,0.001027822494506836,0.0010225772857666016,0.0010221004486083984
3,1.6492986679077086e-05,1.6214527409626964e-08,2.1092820167541474e-05,2.06414456603118e-08,2.0393610000610302e-05,1.9971955352446085e-08,0.0,0.0,0.0,0.0010223388671875,0.0010235309600830078,0.0010225772857666016
4,3.000047206878664e-05,2.9101695223106947e-08,3.591489791870115e-05,3.4640713963426613e-08,3.850748538970948e-05,3.7033136030322e-08,0.0,0.0,0.0,0.0010223388671875,0.0010223388671875,0.001024484634399414
5,6.161327362060569e-05,5.783193940629632e-08,7.971048355102524e-05,7.336874521683988e-08,8.58121156692504e-05,7.846322455586607e-08,0.0,0.0,0.0,0.0010223388671875,0.0010216236114501953,0.001033782958984375
6,0.0001250224590301506,1.0941789966654812e-07,0.00018453602790832507,1.50524489197322e-07,0.00018101844787597613,1.4827656159963264e-07,0.0,0.0,0.0,0.0010328292846679688,0.001035451889038086,0.0010304450988769531
7,0.00027130935192108083,1.9781894114741987e-07,0.00036084470748901255,2.3078942324117632e-07,0.0003718086481094363,2.3418660324169642e-07,0.0,0.0,0.0,0.0010383129119873047,0.002000093460083008,0.0020012855529785156
8,0.0006126389741897533,2.4096740916918323e-07,0.0008924671888351456,1.6369322774075507e-07,0.0008425082206726074,1.7723377739529545e-07,0.0,0.0,0.0,0.00202178955078125,0.003001689910888672,0.002997875213623047
9,0.0013727861404418935,2.3461664525088046e-07,0.0021293607711792176,1.2319260629596079e-07,0.0019920131921768135,1.9217978832789335e-07,0.0009634494781494141,0.0019614696502685547,0.0009698867797851562,0.003992557525634766,0.0070002079010009766,0.00697779655456543
10,0.003032713103294376,2.0080625306101858e-07,0.004848154711723318,3.1410896787382953e-07,0.004393032169342042,3.6161740895785413e-07,0.001968860626220703,0.003954887390136719,0.002969026565551758,0.008051872253417969,0.013000011444091797,0.015008687973022461
11,0.006686133790016178,4.955484063442953e-07,0.010887761855125435,7.896252604890846e-07,0.009623018622398376,9.206425715552619e-07,0.005959987640380859,0.009962797164916992,0.00795125961303711,0.018993377685546875,0.02900528907775879,0.02800130844116211
