lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.22984210666666666,0.7395556593569258,3.880000000044958e-06,4.762666666662277e-13,3.573333333347269e-06,2.3288888876609513e-14,3.600000000325565e-06,3.299999999484271e-06,3.299999999484271e-06,3.447571,5.999999999950489e-06,3.7999999999982492e-06
1,3.7866666666867367e-06,4.1155555491901213e-14,3.5733333334064804e-06,6.995555553579539e-14,3.7533333333783504e-06,4.248888890692495e-14,3.5000000000451337e-06,3.200000000092018e-06,3.4000000006528808e-06,4.199999999343618e-06,4.299999999624049e-06,4.200000000231796e-06
2,3.880000000044959e-06,2.135999998290236e-13,3.6266666664748945e-06,6.462222223728767e-14,6.853333333485998e-06,1.119211555521486e-10,3.5000000000451337e-06,3.200000000092018e-06,3.5000000000451337e-06,5.199999999483396e-06,4.200000000231796e-06,4.6399999999557906e-05
3,3.880000000044958e-06,3.562666666682082e-13,4.239999999988697e-06,6.797333332779825e-13,3.973333333225544e-06,1.3928888907009426e-13,3.3999999997647024e-06,3.5000000000451337e-06,3.299999999484271e-06,5.999999999950489e-06,6.199999999623174e-06,4.9000000004184585e-06
4,3.71999999995154e-06,5.22666666803307e-14,7.719999999977742e-06,1.4893093333307095e-10,5.393333333418108e-06,1.9712888885180056e-12,3.3000000003724494e-06,3.699999999717818e-06,4.200000000231796e-06,4.099999999951365e-06,5.319999999997549e-05,9.200000000042508e-06
5,3.759999999945289e-06,4.639999998076016e-14,5.699999999997374e-06,5.466666666536974e-13,7.853333333388927e-06,4.2077155555636983e-11,3.5000000000451337e-06,5.00000000069889e-06,5.5999999997169425e-06,4.099999999951365e-06,7.1999999997629516e-06,3.2000000000032e-05
6,4.4000000002005395e-06,1.8279999999141722e-12,1.008000000020104e-05,2.5359999995626126e-13,1.2660000000093891e-05,3.597333334893213e-13,3.3000000003724494e-06,9.300000000322939e-06,1.1499999999387e-05,8.300000000183161e-06,1.089999999948077e-05,1.3700000000227419e-05
7,4.426666666764353e-06,8.486222223096141e-13,2.840666666668786e-05,5.6859555562254994e-12,4.03866666667696e-05,7.325155555537085e-12,3.699999999717818e-06,2.5100000000222167e-05,3.750000000035669e-05,7.70000000027693e-06,3.300000000017178e-05,4.939999999997724e-05
8,4.353333333284581e-06,1.8488888902584103e-14,0.00010172666666677563,1.8885128888667966e-10,0.0001391200000001665,4.937309333261846e-10,4.099999999951365e-06,7.87000000004312e-05,0.00012080000000036506,4.500000000184912e-06,0.00012080000000036506,0.00020799999999976393
9,1.0833333333278481e-05,2.315662222193514e-10,0.0004629733333333756,2.889911795557513e-08,0.0005189933333333248,5.265686222250123e-10,4.800000000138027e-06,0.0003489999999999327,0.0004844000000003845,5.939999999959866e-05,0.0010028000000001924,0.0005614000000004893
10,8.086666666784482e-06,1.2691555557720365e-12,0.0016077066666666676,3.4429375288835536e-08,0.0023075600000002083,5.6490509066684646e-08,6.299999999903605e-06,0.0013323999999999003,0.0019945000000003432,1.0000000000509601e-05,0.0019697999999994664,0.0030533000000003696
11,1.1293333333621073e-05,1.7272888884829527e-12,0.007137053333333416,1.5359877531553741e-06,0.00947514000000016,8.432075424002921e-07,9.700000000556486e-06,0.005400999999999989,0.008603700000000103,1.5099999999712566e-05,0.009595700000000207,0.01245170000000062
12,2.2219999999843293e-05,2.5217759999980955e-10,0.026831173333333246,5.518276637956188e-06,0.03960064666666678,7.608097970488998e-06,1.3599999999946988e-05,0.02319620000000011,0.0356677000000003,6.489999999992335e-05,0.031005300000000346,0.04461650000000006
13,2.577333333337132e-05,1.61952888882951e-11,0.11205610666666672,0.0019048568351886107,0.16894474000000026,0.00023575940204240915,1.4700000000367197e-05,0.07773160000000079,0.15296149999999997,2.8900000000220416e-05,0.26031409999999955,0.21607430000000072
14,6.657333333350834e-05,6.495193955548041e-09,0.35765325999999953,0.0007195548884570686,0.5733092599999997,0.0004344634581943917,3.360000000007801e-05,0.31968479999999744,0.5423610000000032,0.00036769999999997083,0.4197513999999991,0.6292690000000007
15,8.635333333349612e-05,2.5174648889164205e-10,1.1654398399999994,0.007736786852854393,2.2177376666666664,0.009602616802426014,4.350000000030718e-05,1.0492716000000044,2.084654999999998,0.00010080000000201039,1.3465959000000005,2.4054006
16,0.00017658666666685955,5.538488885625102e-12,4.573527626666667,0.028773907674270092,8.246789239999995,0.04339020946783091,0.00016990000000305372,4.2232068,7.9589054999999576,0.0001812000000001035,4.822474800000009,8.730196299999989
17,0.00020323333333559883,4.776664889394579e-09,16.146695886666663,0.07057486354593381,32.4607375,0.7935191939423908,0.00015869999998585627,15.731385599999953,31.044476099999997,0.00037250000002586603,16.753601400000036,33.95444209999994
18,0.0004893933333126671,3.38705286202933e-08,66.42047844666665,5.067141173704007,121.77003522666662,0.5418613132141846,0.00031539999997676205,60.1936068,120.62393679999968,0.0008427999999867097,68.70193630000017,123.66643779999958
19,0.0006762199999684525,1.3914122662758975e-09,238.20851008000002,1.6892876706840718,489.57055686666655,2.014405686627385,0.0006343000000015309,235.91960420000032,487.4267376000007,0.0007505999997192703,240.9967740000002,492.0549253999998
20,0.0014189266663985713,2.674837966698031e-09,881.4714811666669,23.493655036237513,1879.6173389066669,184.45478333730986,0.0013521000000764616,871.5604650000023,1856.5550288000013,0.0015161999999691034,893.947253600003,1908.615217000006
