lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.236972,0.786153946698513,3.1733333332321458e-06,1.9795555558184194e-13,3.6399999999640425e-06,7.173333334722875e-14,3.3000000003724494e-06,2.5999999992976086e-06,3.3999999997647024e-06,3.5545245999999997,3.7999999999982492e-06,4.39999999990448e-06
1,3.6399999999048306e-06,4.64000000423405e-14,3.6866666665839413e-06,5.182222224681494e-14,3.813333333428185e-06,6.515555546939923e-14,3.099999999811587e-06,3.3999999997647024e-06,3.5000000000451337e-06,3.9000000002786805e-06,4.200000000231796e-06,4.299999999624049e-06
2,3.7533333334375622e-06,1.848888887258339e-14,3.6533333332163427e-06,1.8488888889952216e-14,3.6066666665964435e-06,8.59555556523761e-14,3.5000000000451337e-06,3.3999999997647024e-06,3.299999999484271e-06,3.9999999996709334e-06,3.899999999390502e-06,4.400000000792659e-06
3,3.3799999999454636e-06,5.6000000053550666e-15,3.4666666666183237e-06,1.2888888913808337e-14,3.726666666636902e-06,8.062222223860257e-14,3.299999999484271e-06,3.200000000092018e-06,3.299999999484271e-06,3.5999999994373866e-06,3.600000000325565e-06,4.200000000231796e-06
4,3.8066666668020355e-06,5.72622221986135e-13,4.073333333209916e-06,1.6622222268080552e-14,3.966666666836242e-06,5.955555546720221e-14,3.200000000092018e-06,3.899999999390502e-06,3.600000000325565e-06,6.399999999295858e-06,4.39999999990448e-06,4.39999999990448e-06
5,4.2800000000416585e-06,6.84266666650953e-13,4.920000000060061e-06,2.160000001930183e-14,4.613333333362372e-06,1.4915555548103955e-13,3.699999999717818e-06,4.699999999857596e-06,4.200000000231796e-06,6.700000000137152e-06,5.200000000371574e-06,5.50000000032469e-06
6,4.013333333278504e-06,5.048888891705633e-14,7.200000000177435e-06,5.866666661675013e-14,6.020000000065788e-06,3.8160000006546703e-13,3.600000000325565e-06,6.700000000137152e-06,5.400000000044258e-06,4.500000000184912e-06,7.5999999999964984e-06,8.100000000510477e-06
7,4.086666666699065e-06,5.315555553709896e-14,1.5633333333238874e-05,8.462222221287818e-13,1.0660000000051186e-05,1.477333333495272e-13,3.7999999999982492e-06,1.3899999999900103e-05,9.799999999948739e-06,4.600000000465343e-06,1.699999999971169e-05,1.1399999999994748e-05
8,4.393333333337544e-06,5.395555552816483e-14,5.4406666666710165e-05,2.5781955556043857e-11,2.7793333333292483e-05,3.732622221937931e-12,4.000000000559112e-06,4.1399999999747195e-05,2.5500000000455714e-05,4.700000000745774e-06,6.28999999996438e-05,3.360000000007801e-05
9,5.206666666701665e-06,8.995555550822787e-14,0.00018810000000009098,4.432373333406168e-10,0.00011029333333354432,1.9983512888745947e-09,4.800000000138027e-06,0.00016030000000011313,8.169999999996236e-05,5.699999999997374e-06,0.00024980000000063285,0.00027539999999959264
10,6.273333333221368e-06,2.4195555553019325e-13,0.0007008599999999513,2.1656183999978486e-09,0.00035934666666671925,3.5597448889019794e-10,5.400000000044258e-06,0.0005500999999998868,0.0003066000000000457,7.1999999997629516e-06,0.0007481999999994216,0.00038089999999968427
11,1.0239999999939185e-05,3.011733333200418e-12,0.0030279599999998297,1.1227151839999745e-07,0.0015227266666666258,2.1126054062213464e-07,8.300000000183161e-06,0.0026524999999999466,0.00124379999999924,1.479999999975945e-05,0.004105299999999978,0.003205999999999598
12,3.361333333333032e-05,5.050674488876619e-09,0.011978319999999877,6.311972322666636e-07,0.006551173333333438,7.973106699558123e-07,1.2700000000087641e-05,0.010823799999999828,0.005513399999999891,0.000299499999999675,0.013634099999999982,0.00942230000000066
13,2.2473333333413355e-05,1.4126222225959714e-12,0.0504674200000002,4.606111393600403e-06,0.026165953333333235,3.590059189155593e-06,1.9899999999850593e-05,0.04607039999999962,0.024177300000000734,2.480000000026905e-05,0.05382810000000049,0.031207700000000393
14,3.363333333332718e-05,2.7808888885341677e-12,0.20813060000000017,0.00013584386506666738,0.10295271999999994,7.992668798933298e-06,2.8400000000594616e-05,0.19141589999999997,0.09809929999999945,3.5399999999796705e-05,0.2399395000000002,0.10754359999999963
15,6.588000000012547e-05,2.413600000823e-12,0.7849279733333336,0.0020579779335725993,0.3583487266666668,0.0003452825118672917,6.390000000067175e-05,0.7103198000000006,0.3217697000000008,6.96000000015573e-05,0.8771920999999985,0.3874688000000006
16,0.00013555333333291247,6.61838222228477e-11,2.44462614,0.013811759689418638,1.2086194733333324,0.003287836985176785,0.00012300000000209366,2.269801600000001,1.128270999999998,0.00016360000000048558,2.6855071000000024,1.316067799999999
17,0.00016274666666807512,2.6841371556231086e-09,9.832311166666665,1.0285917934786561,4.277643639999997,0.05389309221110657,0.0001286999999905447,9.148597200000012,4.0418920000000185,0.000258900000005724,13.018189699999994,4.918172400000003
18,0.0003026466666635012,7.79015582306029e-09,33.517887146666666,0.1924512563317367,16.56265270000001,0.11062447156156081,0.0002485999999635169,32.7659625,16.036639600000058,0.0005161999999927502,34.531190599999945,17.137158899999918
19,0.0008485399999699439,4.915910506661318e-08,149.11923063333342,136.05368559911577,71.05345771333333,24.045976172736793,0.0005016000000068743,135.0691155000004,66.88660660000005,0.0010287000000062108,181.25911020000012,85.53663719999986
20,0.0018115466666737729,8.429362917606677e-08,591.5995653866664,904.3256901972984,298.10532300000034,109.67353857266579,0.001247700000021723,556.1694903999996,284.5855069999998,0.0020840999995925813,649.2721626000002,323.4567695000005
