lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.34261052000000003,1.6432956184630734,6.833333333370698e-06,1.5882222222738417e-11,6.873333333246023e-06,7.490595555481824e-11,4.299999999624049e-06,4.39999999990448e-06,3.9999999996709334e-06,5.139082,1.7299999999664806e-05,3.9199999999794954e-05
1,8.946666666709291e-06,2.399822222896896e-12,1.105999999992946e-05,6.661706666721461e-11,1.838666666671429e-05,1.0683544888890847e-09,7.2999999991552045e-06,8.300000000183161e-06,7.000000000090267e-06,1.3500000000554735e-05,4.1500000000027626e-05,0.00013940000000012276
2,1.3953333333264575e-05,5.197155555265095e-12,1.3819999999971816e-05,2.2693333331529874e-13,2.9659999999983216e-05,3.136966400008804e-09,1.1800000000228295e-05,1.3000000000040757e-05,1.2099999999293232e-05,1.90999999993835e-05,1.4700000000367197e-05,0.0002389000000002639
3,2.6506666666688735e-05,4.9185955556247753e-11,2.9013333333397876e-05,1.0337315555332036e-10,2.6546666666741698e-05,1.3260248888652658e-10,2.0600000000037255e-05,2.1099999999663055e-05,1.9899999999850593e-05,5.040000000011702e-05,5.5099999999974614e-05,6.889999999959429e-05
4,5.15866666667364e-05,4.200915555758304e-11,5.58933333335195e-05,7.533939555598298e-10,5.054000000003592e-05,1.1070906666572783e-10,4.559999999997899e-05,4.019999999993473e-05,3.7600000000637124e-05,6.670000000053022e-05,0.00015410000000048996,7.719999999977745e-05
5,0.00016979999999999033,5.1544477333346585e-08,9.977999999997896e-05,5.230762666683135e-10,9.415333333346136e-05,3.9895848889471964e-10,9.179999999986421e-05,9.14999999999111e-05,7.390000000029318e-05,0.0010078000000000031,0.00018470000000014863,0.00015690000000034843
6,0.00019962666666675232,1.1684246222334155e-09,0.00022104666666660224,3.3752118222432776e-09,0.00019535999999996297,4.722077333278788e-10,0.0001828000000001495,0.00018359999999972842,0.00018470000000014863,0.00031850000000055445,0.0003758000000004813,0.0002731999999996404
7,0.00047502000000007404,2.9714028266658425e-08,0.000330526666666664,1.6374579555627441e-09,0.0003197799999999991,1.3601282666764548e-09,0.0003700000000002035,0.00029090000000042693,0.00029539999999972366,0.0010004999999999598,0.0003920000000006141,0.0003941000000002859
8,0.0007756866666666678,7.831045155534117e-09,0.000756653333333368,3.5813971555580006e-09,0.0006349333333332059,6.0472595555420194e-09,0.0005943000000003806,0.0006519000000002606,0.0006012999999995827,0.0010345999999996636,0.0009353000000000833,0.0009163999999994843
9,0.001512913333333484,2.4626451555565478e-09,0.0015917799999998646,5.697295749333989e-07,0.0015705733333332954,3.8669672622203645e-08,0.0013507999999999853,0.0011852999999995006,0.001208800000000565,0.0015844000000004854,0.004360900000000001,0.0018612999999998436
10,0.002933880000000026,5.364763893329986e-08,0.0027844466666664403,1.3853093448892453e-07,0.0027964200000000737,1.709672962668242e-07,0.0024566999999997563,0.0024031000000004354,0.002471200000000451,0.003149399999999858,0.003409699999999738,0.003886700000000687
11,0.005932719999999966,5.380077069335416e-07,0.006030453333333221,4.5153984515557295e-07,0.00581813999999999,7.616708343997015e-07,0.004881400000000369,0.004859999999999864,0.004931599999999925,0.007739200000000501,0.00764549999999975,0.007817099999999577
12,0.01082746666666695,1.4297561702222325e-06,0.011575873333333318,1.093937927289332e-06,0.010364746666666787,3.4863040648875766e-07,0.009811100000000295,0.00985630000000004,0.009994100000000117,0.014114900000000041,0.01285010000000053,0.011868699999999954
13,0.022614220000000174,3.0679595362663786e-06,0.024615133333333362,8.099929486221384e-06,0.03078300666666678,4.1279741573957334e-05,0.01991229999999966,0.02012420000000148,0.02166599999999974,0.02664990000000067,0.03055439999999976,0.043868699999999095
14,0.05231508000000023,2.7354623192269652e-05,0.04930001333333311,3.257808403982401e-05,0.04731762666666685,1.5664193792622436e-05,0.039993899999998916,0.04100180000000009,0.04143140000000045,0.06082390000000082,0.062205600000000416,0.05363750000000067
15,0.09686992000000019,2.5483564394932916e-05,0.09126107333333346,4.335486073929054e-05,0.09512767333333336,3.3213573889952414e-05,0.08795850000000094,0.08130339999999947,0.08560980000000029,0.1060541999999991,0.10232320000000072,0.10603470000000037
16,0.16823556666666686,0.00022470477661021876,0.18547333999999982,0.000602242774754386,0.18456426666666703,0.00015620752177153457,0.1405087000000016,0.1626895000000026,0.16487410000000224,0.1914194000000009,0.26883750000000006,0.21885539999999892
17,0.33642373999999997,0.00038055171321841236,0.3309974200000004,0.0006777241168576232,0.3143931666666665,0.000650989990875607,0.30898690000000073,0.2655413999999965,0.2730121999999966,0.38345680000000115,0.3675545999999983,0.35883930000000674
18,0.5677554266666662,0.00042364774861126345,0.5753651066666662,0.0011529004514405999,0.6056040600000012,0.0005116755846503532,0.5366034000000042,0.5227494000000021,0.5725302999999968,0.6121760999999992,0.635901699999998,0.6395775999999955
19,1.2025546599999986,0.003343114102945161,1.3976281266666661,0.09525944860549433,1.4558204999999986,0.04416397528060906,1.1287901999999974,1.152701300000004,1.1980005000000062,1.3249303999999995,2.0112299000000036,1.8322237999999942
20,2.42254056,0.010414327454228635,2.4387263533333283,0.004777152122714423,2.5485635799999935,0.010312858082805994,2.3251013,2.333354899999989,2.3975519999999904,2.7229580000000198,2.6081444999999803,2.803092899999996
