lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.30661444000000015,1.3161367686679988,4.299999999979321e-06,1.4666666670411547e-12,3.85333333330351e-06,4.478222222422532e-13,3.5000000000451337e-06,3.3000000003724494e-06,3.3000000003724494e-06,4.5991562,8.200000000790908e-06,5.699999999997374e-06
1,3.446666666739873e-06,1.7448888899830135e-13,3.593333333462567e-06,3.9395555564295094e-13,3.6066666665964435e-06,2.846222221661554e-13,3.099999999811587e-06,3.099999999811587e-06,3.000000000419334e-06,4.9000000004184585e-06,5.400000000044258e-06,4.799999999249849e-06
2,5.640000000065962e-06,1.0425066666178503e-11,4.400000000022904e-06,9.146666664913047e-13,4.019999999786232e-06,1.3242666666901293e-12,3.3999999997647024e-06,3.7999999999982492e-06,3.299999999484271e-06,1.6099999999852344e-05,7.499999999716067e-06,7.899999999949614e-06
3,3.446666666680661e-06,2.2488888873701604e-14,3.479999999989047e-06,6.16000000020624e-14,4.039999999960741e-06,4.704000001371874e-13,3.200000000092018e-06,3.099999999811587e-06,3.099999999811587e-06,3.699999999717818e-06,4.099999999951365e-06,5.800000000277805e-06
4,4.053333333390677e-06,2.4144888887394856e-12,5.1466666665926175e-06,3.889155556020515e-12,5.4533333332903075e-06,1.0885155554778844e-11,3.200000000092018e-06,3.5000000000451337e-06,4.000000000559112e-06,9.499999999995623e-06,1.0000000000509601e-05,1.759999999961792e-05
5,8.820000000042684e-06,7.886933333223225e-12,7.746666666541558e-06,3.53982222240794e-12,6.746666666638627e-06,3.918222222210717e-13,6.100000000230921e-06,5.999999999950489e-06,5.999999999950489e-06,1.5600000000226544e-05,1.3000000000040757e-05,7.70000000027693e-06
6,3.2553333333259125e-05,7.280397155549644e-09,1.3066666666657529e-05,3.3675555559530138e-12,1.2693333333283856e-05,3.8328888873961263e-13,8.899999999201214e-06,1.0200000000182285e-05,1.1300000000602495e-05,0.00035179999999979117,1.7900000000459215e-05,1.3599999999946988e-05
7,2.0626666666660277e-05,2.9379555549985813e-12,2.102666666671619e-05,8.54862222154739e-12,2.267999999988983e-05,2.1282666669954115e-12,1.7200000000272553e-05,1.8900000000598993e-05,2.0999999999382624e-05,2.2799999999989495e-05,2.9999999999752447e-05,2.4999999999941735e-05
8,4.162666666663503e-05,3.788328888877798e-11,4.103333333311809e-05,1.375688888899962e-11,4.944666666665635e-05,4.220782222204256e-11,3.419999999998424e-05,3.729999999979583e-05,4.3099999999185457e-05,5.939999999959866e-05,4.709999999974457e-05,6.759999999950139e-05
9,8.109333333342998e-05,9.964328888875578e-11,8.457333333341902e-05,5.768328888928493e-11,0.00010835999999994072,1.635383999953653e-10,6.95000000003887e-05,7.740000000033831e-05,9.220000000009776e-05,0.00010159999999981295,9.950000000014114e-05,0.0001480999999996513
10,0.00019858666666679642,9.294069155585375e-09,0.00021477333333320321,5.068952622234306e-09,0.0002226400000000221,9.262399999009175e-12,9.760000000014202e-05,0.00016319999999936385,0.00021590000000060172,0.0005504000000007281,0.00047420000000020224,0.00022979999999961365
11,0.00037876666666664485,1.1448448888841299e-09,0.0006178999999999489,6.465012826668214e-07,0.0004589599999999787,1.0977330666656649e-09,0.0003061000000004199,0.0003353999999999857,0.0004113999999999507,0.0004208999999999463,0.003616400000000297,0.0005135000000002776
12,0.0007408666666667802,1.7328995555565324e-08,0.0009059733333330656,8.255565955575802e-09,0.0011265599999999768,1.7085737066683996e-08,0.0006384999999999863,0.0007140999999997177,0.0009138999999995789,0.0011340000000004125,0.001071500000000114,0.0013836999999998767
13,0.0016850200000000962,2.7936422933294152e-08,0.0017203733333332734,8.654313395560329e-08,0.0022989066666665886,1.7818942595553804e-07,0.0013545999999999836,0.0014678999999997444,0.001976299999999931,0.002009399999999495,0.0025893000000003497,0.003538999999999959
14,0.003811559999999995,2.8771375770666905e-06,0.005329186666666767,7.144403875823014e-06,0.004358073333333401,2.7891660328897384e-07,0.0028154999999996377,0.003148900000000232,0.0038517999999996277,0.009991499999999931,0.011886100000000788,0.00550039999999985
15,0.0070043599999999396,1.0057904797332604e-06,0.007698759999999952,1.1958294770669134e-06,0.009296566666666629,1.5972955702219637e-06,0.005768400000000007,0.006288399999999861,0.008051199999999703,0.009250699999999945,0.010293200000000446,0.01229060000000004
16,0.013338446666666807,1.0335804758219838e-06,0.01461999333333317,1.417197129955389e-06,0.018582620000000105,9.662660682668227e-07,0.011986500000000788,0.013216800000000362,0.017039099999999863,0.014868100000000162,0.017139600000000144,0.020304499999999948
17,0.02905766666666665,4.342412084889617e-06,0.03608519999999989,2.7707667626663816e-05,0.04831508666666705,4.570916732248973e-05,0.02612899999999918,0.030472800000000078,0.04036800000000085,0.03335159999999959,0.05015149999999835,0.06740380000000101
18,0.06167812666666682,2.499927316329128e-05,0.06281892000000026,1.5236585270933132e-05,0.08063749999999992,1.1704454999998938e-05,0.05411319999999975,0.05722019999999972,0.07570959999999971,0.06963330000000134,0.07077939999999927,0.0874372000000001
19,0.12638041333333327,4.977828740782544e-05,0.12878421999999976,0.00013630719422160135,0.16022119333333268,6.847620466462161e-05,0.1127925999999988,0.10240779999999816,0.14510220000000018,0.13736689999999996,0.14348220000000111,0.17184959999999805
20,0.26137999333333345,0.0014323230766259706,0.25282955333333396,0.00027944044226117044,0.32609805999999963,0.0002944828150743785,0.20666719999999827,0.22323089999999723,0.2966842000000014,0.38160170000000093,0.28245430000000127,0.35661380000000165
