lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,1.4786666666655183e-05,3.2509155555628316e-11,1.2246666666682061e-05,2.3651555555461146e-12,2.0466666666685286e-05,7.179075555565191e-10,1.1500000000053134e-05,8.999999999925734e-06,1.2799999999923983e-05,3.540000000001875e-05,1.5199999999992997e-05,0.00012070000000008463
1,1.634666666670744e-05,1.8446488889070567e-11,1.7326666666672712e-05,1.420939555566173e-10,1.4106666666687436e-05,7.096622222275777e-12,1.2000000000123023e-05,1.0600000000193788e-05,1.0000000000065512e-05,3.140000000012577e-05,6.080000000019403e-05,1.9699999999955864e-05
2,1.6959999999999197e-05,3.855733333177014e-12,1.5326666666718817e-05,9.83395555560598e-12,1.4359999999976242e-05,2.5903999999748933e-12,1.5000000000098268e-05,1.0999999999983245e-05,1.0799999999866472e-05,2.379999999990723e-05,2.1100000000107144e-05,1.6800000000039006e-05
3,1.4253333333336115e-05,2.795715555599593e-11,1.4086666666690562e-05,4.9371555555895266e-12,1.4086666666675759e-05,6.1304888887794115e-12,1.0300000000018628e-05,1.0599999999971743e-05,1.0500000000135401e-05,3.190000000019566e-05,1.740000000016728e-05,1.7399999999945237e-05
4,1.348000000001015e-05,6.272266666701431e-12,1.4106666666643026e-05,5.535288888961303e-12,1.1066666666659232e-05,1.7022222220882057e-13,9.999999999843467e-06,1.070000000003013e-05,1.0599999999971743e-05,1.7399999999945237e-05,1.7599999999839966e-05,1.2399999999912481e-05
5,1.2799999999997999e-05,1.2520000000181213e-11,1.1253333333346067e-05,2.0211555554562636e-12,1.1793333333365296e-05,2.4632888887785105e-12,1.0299999999796583e-05,1.0400000000077014e-05,9.700000000112396e-06,2.250000000003638e-05,1.6499999999863846e-05,1.56000000000045e-05
6,1.1660000000028128e-05,2.1077333333781686e-12,1.1133333333350017e-05,1.3955555554976566e-13,1.209333333334802e-05,2.973955555633333e-12,9.900000000007125e-06,1.0400000000077014e-05,1.1100000000041632e-05,1.5700000000062886e-05,1.1500000000053134e-05,1.8400000000085015e-05
7,1.1446666666673858e-05,2.1784888888466065e-12,1.2706666666684185e-05,3.3859555553685667e-12,1.365999999998202e-05,1.8170666666657712e-12,1.0400000000077014e-05,1.1300000000158406e-05,1.2499999999970868e-05,1.669999999998062e-05,1.669999999998062e-05,1.8599999999979744e-05
8,1.225999999997877e-05,3.3040000000390284e-13,1.4206666666701414e-05,7.393955555471372e-12,1.7500000000018427e-05,6.2106666667070676e-12,1.1199999999877974e-05,1.2600000000029254e-05,1.5300000000051384e-05,1.3700000000005375e-05,2.1199999999943486e-05,2.6000000000081513e-05
9,1.3826666666686785e-05,3.4512888887093095e-12,1.5399999999976542e-05,1.5266666667529878e-12,2.3860000000016275e-05,1.1706666664053653e-13,1.2500000000192912e-05,1.3899999999900103e-05,2.2900000000047882e-05,1.8499999999921357e-05,1.9600000000119522e-05,2.4299999999977118e-05
10,1.5779999999991172e-05,4.2456000001479494e-12,1.860666666667991e-05,2.819555555617048e-13,4.05266666666737e-05,7.947288889145711e-12,1.4799999999981495e-05,1.709999999999212e-05,3.88000000000055e-05,2.340000000011777e-05,1.940000000000275e-05,5.090000000018691e-05
11,2.0800000000005998e-05,8.058666666644593e-12,2.7373333333328513e-05,1.8383288888826232e-11,8.73399999999839e-05,9.758906666621965e-11,1.8999999999991246e-05,2.4400000000035504e-05,7.209999999990835e-05,2.8600000000045256e-05,3.8399999999993994e-05,0.00010189999999998811
