lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,3.7133333333549947e-06,1.395982222234196e-11,2.2599999999872716e-06,3.306666666383142e-14,2.059999999988923e-06,7.706666669804033e-14,2.19999999995224e-06,1.8000000001627825e-06,1.6999999998823512e-06,1.760000000006201e-05,2.700000000022129e-06,2.5000000001274003e-06
1,1.067333333333309e-05,4.357952888894087e-10,4.199999999994949e-06,3.733333332926317e-13,4.733333333314012e-06,7.048888889116646e-13,3.4000000002087916e-06,3.300000000150405e-06,3.6000000001035204e-06,8.870000000005263e-05,5.199999999927485e-06,6.799999999973494e-06
2,4.726666666687862e-06,9.512888889141901e-13,4.246666666674058e-06,4.75822222232909e-13,3.4600000000365824e-06,1.8399999998985767e-14,3.399999999986747e-06,3.399999999986747e-06,3.200000000092018e-06,6.799999999973494e-06,5.2999999999858716e-06,3.7999999999982492e-06
3,3.673333333287232e-06,2.966222222178664e-13,3.659999999990523e-06,5.663999999923105e-13,3.7799999999717686e-06,7.949333333313855e-13,3.099999999811587e-06,2.9999999999752447e-06,3.1999999998699735e-06,5.2999999999858716e-06,6.399999999961992e-06,6.799999999973494e-06
4,3.479999999989047e-06,1.455999999758071e-13,3.566666666647104e-06,1.5555555552009253e-14,3.733333333292658e-06,2.288888888571502e-13,3.1999999998699735e-06,3.399999999986747e-06,3.1999999998699735e-06,4.799999999915983e-06,3.7999999999982492e-06,5.399999999822214e-06
5,3.620000000055986e-06,6.293333334701877e-14,3.946666666676534e-06,1.984888888907316e-13,3.973333333329166e-06,4.195555556053431e-14,3.399999999986747e-06,3.5999999998814758e-06,3.6999999999398625e-06,4.500000000184912e-06,5.100000000091143e-06,4.39999999990448e-06
6,3.8133333333097613e-06,5.315555556216533e-14,4.059999999987222e-06,1.7066666661727038e-14,4.966666666694763e-06,4.3822222220498947e-13,3.1999999998699735e-06,3.700000000161907e-06,4.300000000068138e-06,4.2000000000097515e-06,4.2000000000097515e-06,6.3000000001256495e-06
7,4.186666666683436e-06,5.611555555273335e-13,5.019999999955616e-06,1.5096000000018498e-12,6.346666666686337e-06,1.5051555554930036e-12,3.6999999999398625e-06,4.2000000000097515e-06,5.699999999997374e-06,6.299999999903605e-06,9.499999999995623e-06,1.0899999999924859e-05
8,4.86666666665118e-06,5.542222222437342e-13,5.8533333333610216e-06,4.518222221729095e-13,9.533333333318814e-06,1.5062222222481554e-12,4.2000000000097515e-06,5.2999999999858716e-06,8.999999999925734e-06,7.000000000090267e-06,8.19999999990273e-06,1.4100000000016877e-05
9,5.546666666678135e-06,2.758222222385786e-13,7.453333333288606e-06,7.051555555156805e-13,1.627333333333129e-05,6.062222222728775e-14,5.000000000032756e-06,6.699999999915107e-06,1.5700000000062886e-05,7.40000000010177e-06,1.039999999985497e-05,1.6600000000144277e-05
10,7.860000000000275e-06,1.278399999920756e-12,1.0566666666663356e-05,1.0488888888406563e-13,3.348666666667851e-05,1.069048888884923e-11,7.000000000090267e-06,1.0000000000065512e-05,3.0999999999892225e-05,1.0799999999866472e-05,1.1500000000053134e-05,4.139999999996924e-05
11,1.2100000000003775e-05,2.14400000015587e-12,1.779333333330098e-05,5.568622222114081e-12,6.692000000000733e-05,2.5434933333117214e-11,1.1099999999819588e-05,1.5799999999899228e-05,6.369999999988885e-05,1.740000000016728e-05,2.639999999987097e-05,8.539999999990222e-05
12,2.1393333333360094e-05,7.619555555300993e-13,4.191333333330623e-05,2.6535448889020715e-10,0.00014145999999999324,2.94997333334294e-11,2.0200000000025753e-05,3.179999999991523e-05,0.00013519999999989096,2.329999999983734e-05,8.920000000012251e-05,0.00015809999999993885
13,4.138666666665773e-05,3.6118222222247722e-12,6.947999999997732e-05,1.562522666675177e-10,0.00031263999999994556,9.229090666689315e-10,3.88000000000055e-05,6.299999999992423e-05,0.0002948999999998758,4.540000000008426e-05,0.00011580000000011026,0.00039530000000009835
14,7.927333333331475e-05,3.1312888889508742e-12,0.0001391200000000037,4.5744426666552734e-10,0.0006988266666666744,6.068888622225509e-09,7.750000000017465e-05,0.0001298999999999051,0.0006306000000000367,8.420000000008976e-05,0.00021889999999991083,0.0008350999999999775
15,0.00017485999999999888,7.085677333316588e-10,0.0002762333333333237,1.288755555580181e-11,0.0014128199999999885,1.2374125600002683e-08,0.00015980000000004324,0.0002727000000000146,0.0013433000000000472,0.00026479999999984294,0.0002843000000001261,0.0017404000000000863
16,0.00045429999999996675,1.0646314666665577e-08,0.0007252799999999837,2.626362693333219e-08,0.003259319999999999,1.0979309493333729e-07,0.00033639999999990344,0.0005813000000001178,0.002838700000000083,0.0005950999999999596,0.0010272999999998422,0.003901500000000002
17,0.0008500799999999902,3.545029759999422e-08,0.0015359466666666321,1.1445925448888623e-07,0.006577759999999996,2.3593423439998905e-07,0.0007093000000000238,0.001270699999999847,0.006080899999999945,0.0013231000000000215,0.002178699999999978,0.00783899999999993
18,0.0018202133333333757,9.797277582221289e-08,0.0032851666666666134,5.646883382221187e-07,0.01398818000000004,8.548418642664826e-07,0.0015108000000001454,0.0026296000000001207,0.01297460000000017,0.002554799999999968,0.005257399999999635,0.016297299999999737
19,0.004230013333333342,5.467321158222029e-07,0.007768686666666664,2.0181334158219735e-06,0.03056995333333331,2.208462391822291e-06,0.0032098000000000404,0.0055445999999999,0.028163099999999996,0.005373300000000025,0.009739199999999837,0.032907699999999984
20,0.007940753333333403,1.2286638478221164e-06,0.013867219999999965,3.431679160266816e-06,0.06538679333333355,7.450846952622492e-06,0.006891299999999934,0.011873800000000045,0.061944999999999695,0.010263199999999806,0.017529600000000034,0.07164809999999999
