lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,0.06982204000000003,0.06823732901370239,7.1066666665823666e-06,4.7819555554110575e-12,4.953333333368448e-06,1.1278222223695867e-12,4.699999999857596e-06,4.899999999974369e-06,4.200000000231796e-06,1.0472280999999999,1.1599999999667432e-05,8.80000000025305e-06
1,5.046666666667458e-06,3.344888888468415e-13,4.973333333306111e-06,3.9528888890994494e-13,5.013333333299859e-06,5.051555555138494e-13,4.099999999951365e-06,4.39999999990448e-06,4.39999999990448e-06,6.799999999973494e-06,6.500000000020378e-06,6.899999999809836e-06
2,4.719999999972894e-06,1.8426666665565175e-13,1.4379999999973116e-05,1.2375376000000998e-09,4.813333333390327e-06,1.0115555561091375e-13,4.099999999951365e-06,4.4999999997408224e-06,4.39999999990448e-06,5.799999999833716e-06,0.00014599999999997948,5.700000000441463e-06
3,4.993333333391802e-06,1.206222221917572e-13,5.8933333332807555e-06,7.432888889168335e-13,5.206666666642453e-06,4.019555555950545e-13,4.000000000115023e-06,4.799999999693938e-06,4.500000000184912e-06,5.400000000044258e-06,7.399999999879725e-06,7.200000000207041e-06
4,5.453333333319913e-06,3.744888888797346e-13,6.013333333380426e-06,2.498488888973763e-12,5.813333333382076e-06,7.448888889929143e-14,4.700000000301685e-06,4.899999999974369e-06,5.199999999927485e-06,6.900000000253925e-06,1.0300000000018628e-05,6.200000000067263e-06
5,6.959999999978094e-06,3.0906666672440953e-13,6.6266666666869865e-06,1.0328888888318411e-13,6.719999999985995e-06,2.0560000000086995e-13,6.399999999739947e-06,5.999999999950489e-06,6.100000000230921e-06,8.900000000089392e-06,7.0999999999266095e-06,8.100000000066387e-06
6,7.626666666619522e-06,4.8622222199261256e-14,8.613333333329365e-06,6.25155555395419e-13,9.113333333280827e-06,1.2915555552992313e-13,7.300000000043383e-06,7.400000000323814e-06,8.499999999855845e-06,8.099999999622298e-06,1.0599999999971743e-05,1.0099999999901854e-05
7,1.1893333333408879e-05,2.5662222219345983e-13,1.1533333333346718e-05,1.7822222217375336e-13,1.3713333333361297e-05,2.0648888889277094e-13,1.1200000000322063e-05,1.100000000020529e-05,1.320000000015753e-05,1.3299999999993872e-05,1.259999999980721e-05,1.5100000000156655e-05
8,1.9106666666631374e-05,6.097955555323413e-12,1.9453333333411625e-05,4.3715555563497535e-13,2.4220000000004427e-05,5.642666667926709e-13,1.2700000000087641e-05,1.809999999968781e-05,2.2899999999825837e-05,2.1700000000013375e-05,2.0500000000200913e-05,2.580000000040883e-05
9,3.622666666656116e-05,1.5540622222117284e-11,3.850666666676735e-05,1.6603395555549878e-10,4.9233333333287284e-05,2.1535155555483174e-10,3.060000000010277e-05,3.250000000010189e-05,4.399999999993298e-05,4.889999999990735e-05,8.650000000010039e-05,0.00010399999999988196
10,7.333333333328084e-05,1.4622222222194713e-11,7.413333333330385e-05,2.4700888888637825e-10,9.400666666662024e-05,1.2997128888913286e-10,6.519999999987647e-05,6.149999999971456e-05,8.46999999999376e-05,8.069999999982258e-05,0.00012879999999970693,0.00013139999999989271
11,0.00016211999999997672,6.123893333327821e-11,0.00015410000000001624,5.619853333331063e-10,0.00021265999999998305,5.114791733337996e-09,0.00014609999999981582,0.00013700000000005375,0.00018640000000003099,0.0001741000000001769,0.0002279000000000586,0.0004778000000000837
12,0.0003699733333332252,2.7351752888868634e-09,0.00031986666666667193,5.508822222205008e-10,0.00039783999999999745,3.566970666646987e-10,0.0003059999999996954,0.00027939999999970766,0.00036669999999983105,0.0005406999999997275,0.00037979999999970815,0.0004472999999998173
13,0.0009392866666666793,4.2923467822212414e-08,0.0012043466666666741,2.730009422489032e-06,0.001098413333333337,6.011318291553983e-07,0.0006868999999998238,0.0006804000000002475,0.0008247000000003446,0.0014965000000000117,0.007382300000000175,0.003990999999999634
14,0.0022644999999999506,2.3518574666672614e-08,0.0019041399999999873,7.94820970666177e-08,0.0019188466666665664,8.696846515555317e-08,0.0019955999999998753,0.0016427999999999443,0.0017320999999999032,0.002469400000000288,0.0028417999999996724,0.002829699999999935
15,0.005771240000000037,2.693451837332991e-07,0.004588066666666653,9.269783555555009e-08,0.0037856666666666724,2.141139822222873e-08,0.0047674999999998136,0.00401460000000009,0.003666200000000064,0.00675530000000002,0.00525500000000001,0.004248299999999983
16,0.01559807999999997,5.011552882666269e-07,0.011853379999999952,2.065809162666258e-07,0.008296006666666737,2.053768579555642e-07,0.014223499999999945,0.011138299999999823,0.007845500000000172,0.017252699999999788,0.012764599999999682,0.009575400000000123
17,0.04355851333333346,3.7073466171560104e-06,0.03232916666666661,1.0838042862222119e-06,0.0175181866666667,9.662236504888451e-07,0.040782799999999675,0.030610600000000154,0.016275100000000542,0.047230300000000724,0.03446529999999992,0.020024199999999936
18,0.11393603333333324,1.3338067670222014e-05,0.0869796666666667,5.247658302222329e-06,0.03676885333333325,1.2484300718216314e-06,0.10628279999999979,0.08377719999999922,0.03511210000000098,0.11886499999999955,0.09301460000000006,0.03902949999999983
19,0.3195320066666665,2.3326911904622804e-05,0.2373197066666672,3.5245827115293816e-05,0.07658082666666577,5.881260729955e-06,0.31321250000000056,0.22938480000000006,0.07273039999999753,0.3312755000000003,0.2561339000000018,0.08266209999999674
20,0.8906045200000001,0.002269550700592253,0.6125425933333332,0.002144780012128673,0.1543985133333341,9.357665341717906e-05,0.7677928999999999,0.5169118999999966,0.13181369999999504,0.979663900000002,0.7077705000000023,0.1686910000000026
