lg2 n,sorted,sorted variance,reversed,reversed variance,random,random variance,min_sort,min_rev,min_rand,max_sort,max_rev,max_rand
0,4.002094268798828e-07,4.0025923351777214e-10,1.0020732879638675e-06,1.0031630490061646e-09,5.002021789550819e-07,5.001549536700575e-10,0.0,0.0,0.0,0.0010023117065429688,0.0010099411010742188,0.0010023117065429688
1,1.0021209716796879e-06,1.0032675453294343e-09,8.033037185668948e-07,8.060312960373003e-10,5.009889602661159e-07,5.017311672366994e-10,0.0,0.0,0.0,0.0010118484497070312,0.001018524169921875,0.0010051727294921875
2,6.998300552368157e-07,6.991706137517912e-10,8.016109466552736e-07,8.02604882389913e-10,7.998943328857429e-07,7.992070308660009e-10,0.0,0.0,0.0,0.0010004043579101562,0.0010156631469726562,0.0010161399841308594
3,2.002239227294919e-07,2.0040800654669551e-10,5.011558532714817e-07,5.02075988379146e-10,3.000497817993193e-07,3.000622472058009e-10,0.0,0.0,0.0,0.001001119613647461,0.0010123252868652344,0.001016855239868164
4,6.000995635986338e-07,5.998391265507023e-10,6.98471069335938e-07,6.965032323387308e-10,2.9969215393066414e-07,2.9929522901284135e-10,0.0,0.0,0.0,0.0010006427764892578,0.0010101795196533203,0.0009999275207519531
5,5.987167358398447e-07,5.970849130426397e-10,8.029222488403236e-07,8.052366693340255e-10,4.0102005004882864e-07,4.01888762326053e-10,0.0,0.0,0.0,0.0010008811950683594,0.0010178089141845703,0.0010094642639160156
6,4.013299942016592e-07,4.025100680058837e-10,7.032632827758791e-07,7.06089097656674e-10,9.002923965454086e-07,8.997762488883157e-10,0.0,0.0,0.0,0.0010101795196533203,0.0010199546813964844,0.0010039806365966797
7,5.000114440917965e-07,4.997736909990632e-10,6.98971748352048e-07,6.974586901327457e-10,7.019281387329095e-07,7.033911387674129e-10,0.0,0.0,0.0,0.0010013580322265625,0.0010013580322265625,0.0010161399841308594
8,3.976345062255864e-07,3.9516392252835447e-10,3.012180328369132e-07,3.023563420151731e-10,6.93464279174807e-07,6.867438313543034e-10,0.0,0.0,0.0,0.0010008811950683594,0.0010104179382324219,0.0010006427764892578
9,9.998321533203102e-07,9.987713905866241e-10,7.990598678588848e-07,7.974848669931585e-10,3.9966106414794946e-07,3.991635093319695e-10,0.0,0.0,0.0,0.0010154247283935547,0.0010023117065429688,0.0010008811950683594
10,1.000213623046873e-06,9.994300908692828e-10,8.003234863281262e-07,8.000108945088871e-10,9.003162384033189e-07,8.998264043816569e-10,0.0,0.0,0.0,0.0010037422180175781,0.0010046958923339844,0.001003265380859375
11,6.021261215209942e-07,6.039215435151838e-10,6.008625030517604e-07,6.013798720209742e-10,5.995750427246087e-07,5.98794018796982e-10,0.0,0.0,0.0,0.0010175704956054688,0.0010106563568115234,0.0010013580322265625
12,1.6031265258789044e-06,1.6037031641644718e-09,5.012273788452153e-07,5.022143247236949e-10,3.998517990112309e-07,3.995446056472932e-10,0.0,0.0,0.0,0.001009225845336914,0.0010097026824951172,0.001001596450805664
